Date,Value
1989-01-01,-804947
1990-01-01,-787969
1991-01-01,-718886
1992-01-01,-726236
1993-01-01,-832826
1994-01-01,-1284033
1995-01-01,-814412
1996-01-01,-988335
1997-01-01,-927090
1998-01-01,-793968
1999-01-01,-734463
2000-01-01,-700525
2001-01-01,-760942
2002-01-01,-607381
2003-01-01,-658285
2004-01-01,-611849
2005-01-01,-429091
2006-01-01,-348214
2007-01-01,-450864
2008-01-01,-508809
2009-01-01,-574696
2010-01-01,-567842
2011-01-01,-697349
2012-01-01,-567829
2013-01-01,-547428
2014-01-01,-528564
2015-01-01,-266475
2016-01-01,-103632
2017-01-01,28600
2018-01-01,208475
2019-01-01,269233
2020-01-01,220631
2021-01-01,187409
2022-01-01,-32812
2023-01-01,-99350
2024-01-01,101753
