Date,Value
1989-01-01,-1743069
1990-01-01,-1587034
1991-01-01,-1547557
1992-01-01,-1468967
1993-01-01,-1490420
1994-01-01,-1929263
1995-01-01,-1560991
1996-01-01,-1712023
1997-01-01,-1821628
1998-01-01,-1596545
1999-01-01,-1616969
2000-01-01,-1501337
2001-01-01,-1598541
2002-01-01,-1318444
2003-01-01,-1467257
2004-01-01,-1298896
2005-01-01,-1183334
2006-01-01,-1019682
2007-01-01,-1317509
2008-01-01,-1294643
2009-01-01,-1266394
2010-01-01,-1217773
2011-01-01,-933096
2012-01-01,-1166366
2013-01-01,-982475
2014-01-01,-869165
2015-01-01,-391939
2016-01-01,-21884
2017-01-01,2809
2018-01-01,-29682
2019-01-01,-35782
2020-01-01,55599
2021-01-01,10274
2022-01-01,-608880
2023-01-01,-548141
2024-01-01,-280229
