Date,Value
1989-01-01,1458579
1990-01-01,1613109
1991-01-01,1550125
1992-01-01,1722647
1993-01-01,1621932
1994-01-01,1660022
1995-01-01,2008509
1996-01-01,2168249
1997-01-01,1911682
1998-01-01,1491179
1999-01-01,1411490
2000-01-01,1433823
2001-01-01,1441206
2002-01-01,1531041
2003-01-01,1600263
2004-01-01,1691499
2005-01-01,1896706
2006-01-01,1939791
2007-01-01,2545387
2008-01-01,3051973
2009-01-01,3087872
2010-01-01,2825254
2011-01-01,2579540
2012-01-01,2583087
2013-01-01,2278647
2014-01-01,2248509
2015-01-01,2066229
2016-01-01,1623336
2017-01-01,1433693
2018-01-01,1358099
2019-01-01,1620847
2020-01-01,1193565
2021-01-01,1537152
2022-01-01,2577173
2023-01-01,2513453
2024-01-01,2887595
