Date,Value
1989-01-01,464124
1990-01-01,481849
1991-01-01,542841
1992-01-01,692709
1993-01-01,686816
1994-01-01,695986
1995-01-01,581264
1996-01-01,590493
1997-01-01,597910
1998-01-01,610267
1999-01-01,629551
2000-01-01,601033
2001-01-01,556701
2002-01-01,601560
2003-01-01,605723
2004-01-01,591831
2005-01-01,644095
2006-01-01,640462
2007-01-01,593469
2008-01-01,537202
2009-01-01,453608
2010-01-01,415217
2011-01-01,342424
2012-01-01,180507
2013-01-01,954
2014-01-01,153872
2015-01-01,70984
2016-01-01,32191
2017-01-01,156999
2018-01-01,-13137
2019-01-01,244529
2020-01-01,228360
2021-01-01,342487
2022-01-01,343584
2023-01-01,203774
2024-01-01,362661
