Date,Value
1989-01-01,-316668
1990-01-01,-325020
1991-01-01,-372443
1992-01-01,-444277
1993-01-01,-502211
1994-01-01,-524191
1995-01-01,-554689
1996-01-01,-579598
1997-01-01,-577068
1998-01-01,-557185
1999-01-01,-790088
2000-01-01,-816481
2001-01-01,-773589
2002-01-01,-789644
2003-01-01,-800267
2004-01-01,-813833
2005-01-01,-778351
2006-01-01,-746968
2007-01-01,-782332
2008-01-01,-700560
2009-01-01,-525630
2010-01-01,-744665
2011-01-01,-809589
2012-01-01,-747469
2013-01-01,-717278
2014-01-01,-601034
2015-01-01,-557402
2016-01-01,-551185
2017-01-01,-513211
2018-01-01,-428944
2019-01-01,-335253
2020-01-01,-213655
2021-01-01,-216655
2022-01-01,-236749
2023-01-01,-133163
2024-01-01,-98417
