Date,Value
1989-01-01,-303439
1990-01-01,-356575
1991-01-01,-257796
1992-01-01,-288724
1993-01-01,-181530
1994-01-01,-622233
1995-01-01,-245134
1996-01-01,-350747
1997-01-01,-284975
1998-01-01,-198704
1999-01-01,-177849
2000-01-01,-156085
2001-01-01,-249662
2002-01-01,-119605
2003-01-01,-239410
2004-01-01,-229079
2005-01-01,-135541
2006-01-01,-125585
2007-01-01,-202029
2008-01-01,-281567
2009-01-01,-417355
2010-01-01,-435695
2011-01-01,-531611
2012-01-01,-601361
2013-01-01,-635097
2014-01-01,-632904
2015-01-01,-660905
2016-01-01,-645767
2017-01-01,-776809
2018-01-01,-929435
2019-01-01,-1250302
2020-01-01,-1229844
2021-01-01,-1139628
2022-01-01,-1249627
2023-01-01,-1358309
2024-01-01,-1192773
