Date,Value
1989-01-01,-2133
1990-01-01,-13513
1991-01-01,-13852
1992-01-01,-12233
1993-01-01,-13936
1994-01-01,-14181
1995-01-01,-15738
1996-01-01,-19649
1997-01-01,-16534
1999-01-01,-18797
2000-01-01,-13992
2001-01-01,-13681
2002-01-01,-15910
2003-01-01,-13752
2004-01-01,-16496
2005-01-01,-13808
2006-01-01,-16521
2007-01-01,-10567
2008-01-01,-9807
2009-01-01,-10795
2010-01-01,-10683
2011-01-01,-9541
2012-01-01,-11196
2013-01-01,-7596
2014-01-01,-7578
2015-01-01,-10724
2016-01-01,-8775
2017-01-01,-5956
2018-01-01,-8615
2019-01-01,-7760
2020-01-01,-7598
2021-01-01,-5344
2022-01-01,-8344
2023-01-01,-5589
2024-01-01,-10968
