Date,Value
1989-01-01,-381264
1990-01-01,-390307
1991-01-01,-432789
1992-01-01,-505390
1993-01-01,-560910
1994-01-01,-583312
1995-01-01,-603574
1996-01-01,-619703
1997-01-01,-611095
1998-01-01,-598004
1999-01-01,-826638
2000-01-01,-843913
2001-01-01,-811585
2002-01-01,-828492
2003-01-01,-834664
2004-01-01,-826279
2005-01-01,-789762
2006-01-01,-777976
2007-01-01,-779241
2008-01-01,-706380
2009-01-01,-567050
2010-01-01,-780640
2011-01-01,-834224
2012-01-01,-821780
2013-01-01,-817384
2014-01-01,-748376
2015-01-01,-770432
2016-01-01,-805990
2017-01-01,-805918
2018-01-01,-784169
2019-01-01,-778050
2020-01-01,-700091
2021-01-01,-761856
2022-01-01,-778337
2023-01-01,-753985
2024-01-01,-773620
