Date,Value
1989-01-01,903738
1990-01-01,1007942
1991-01-01,914019
1992-01-01,1042133
1993-01-01,1194844
1994-01-01,1096505
1995-01-01,1441440
1996-01-01,1422774
1997-01-01,1260799
1998-01-01,1102668
1999-01-01,992284
2000-01-01,948538
2001-01-01,1125998
2002-01-01,839025
2003-01-01,949625
2004-01-01,763005
2005-01-01,468474
2006-01-01,442906
2007-01-01,547857
2008-01-01,670592
2009-01-01,608445
2010-01-01,594419
2011-01-01,592342
2012-01-01,207453
2013-01-01,-16041
2014-01-01,-133038
2015-01-01,-462393
2016-01-01,-809868
2017-01-01,-969575
2018-01-01,-985690
2019-01-01,-720257
2020-01-01,-800071
2021-01-01,-1008028
2022-01-01,-1028310
2023-01-01,-999243
2024-01-01,-999840
