Date,Value
1989-01-01,-8507
1990-01-01,2174
1991-01-01,764
1992-01-01,1896
1993-01-01,2335
1994-01-01,189
1995-01-01,-43
1996-01-01,-70
1997-01-01,-1
1998-01-01,-181
1999-01-01,7343
2000-01-01,9379
2001-01-01,8421
2002-01-01,10230
2003-01-01,11820
2004-01-01,1323
2005-01-01,-10026
2006-01-01,-3464
2007-01-01,-851
2008-01-01,-1191
2009-01-01,-589
2010-01-01,-73
2011-01-01,-7658
2012-01-01,8174
2013-01-01,2398
2014-01-01,17717
2015-01-01,24816
2016-01-01,34192
2017-01-01,42725
2018-01-01,47669
2019-01-01,50970
2020-01-01,60211
2021-01-01,54039
2022-01-01,42988
2023-01-01,40022
2024-01-01,52339
