Date,Value
1989-01-01,-510333
1990-01-01,-500269
1991-01-01,-488666
1992-01-01,-539430
1993-01-01,-540702
1994-01-01,-765688
1995-01-01,-882385
1996-01-01,-906407
1997-01-01,-954325
1998-01-01,-957734
1999-01-01,-837902
2000-01-01,-841619
2001-01-01,-843213
2002-01-01,-796061
2003-01-01,-666614
2004-01-01,-705686
2005-01-01,-664318
2006-01-01,-634185
2007-01-01,-664269
2008-01-01,-576639
2009-01-01,-585117
2010-01-01,-635573
2011-01-01,-566932
2012-01-01,-595888
2013-01-01,-611717
2014-01-01,-584389
2015-01-01,-712930
2016-01-01,-768479
2017-01-01,-754567
2018-01-01,-789877
2019-01-01,-699018
2020-01-01,-721957
2021-01-01,-796863
2022-01-01,-868621
2023-01-01,-895893
2024-01-01,-905255
