Date,Value
1996-01-01,16104
1997-01-01,16669
1998-01-01,15258
1999-01-01,17171
2000-01-01,17436
2001-01-01,17329
2002-01-01,16904
2003-01-01,12579
2004-01-01,16502
2005-01-01,17142
2006-01-01,17721
2007-01-01,17666
2008-01-01,17964
2009-01-01,13986
2010-01-01,9173
2011-01-01,8293
2012-01-01,6766
2013-01-01,7228
2014-01-01,4922
2015-01-01,4446
2016-01-01,3408
2017-01-01,3137
2018-01-01,3161
2019-01-01,3156
2020-01-01,2698
2021-01-01,2857
2022-01-01,3340
2023-01-01,5699
2024-01-01,5733
2025-01-01,5951
