Date,Value
2011-01-01,1825
2011-02-01,1988
2011-03-01,1676
2011-04-01,394
2011-05-01,292
2011-06-01,100
2011-07-01,462
2011-08-01,224
2011-09-01,178
2011-10-01,189
2011-11-01,214
2011-12-01,751
2012-01-01,1070
2012-02-01,862
2012-03-01,537
2012-04-01,288
2012-05-01,186
2012-06-01,347
2012-07-01,644
2012-08-01,403
2012-09-01,427
2012-10-01,469
2012-11-01,640
2012-12-01,892
2013-01-01,1174
2013-02-01,1217
2013-03-01,956
2013-04-01,321
2013-05-01,247
2013-06-01,128
2013-07-01,445
2013-08-01,288
2013-09-01,287
2013-10-01,467
2013-11-01,508
2013-12-01,1189
2014-01-01,1289
2014-02-01,1051
2014-03-01,522
2014-04-01,242
2014-05-01,169
2014-06-01,140
2014-07-01,139
2014-08-01,154
2014-09-01,199
2014-10-01,203
2014-11-01,424
2014-12-01,390
2015-01-01,746
2015-02-01,901
2015-03-01,399
2015-04-01,276
2015-05-01,159
2015-06-01,141
2015-07-01,204
2015-08-01,180
2015-09-01,311
2015-10-01,297
2015-11-01,549
2015-12-01,282
2016-01-01,410
2016-02-01,361
2016-03-01,313
2016-04-01,244
2016-05-01,164
2016-06-01,122
2016-07-01,276
2016-08-01,286
2016-09-01,371
2016-10-01,262
2016-11-01,242
2016-12-01,356
2017-01-01,354
2017-02-01,318
2017-03-01,341
2017-04-01,216
2017-05-01,168
2017-06-01,137
2017-07-01,146
2017-08-01,146
2017-09-01,202
2017-10-01,159
2017-11-01,442
2017-12-01,508
2018-01-01,556
2018-02-01,301
2018-03-01,383
2018-04-01,242
2018-05-01,112
2018-06-01,104
2018-07-01,95
2018-08-01,141
2018-09-01,193
2018-10-01,266
2018-11-01,267
2018-12-01,501
2019-01-01,417
2019-02-01,424
2019-03-01,618
2019-04-01,249
2019-05-01,146
2019-06-01,109
2019-07-01,144
2019-08-01,74
2019-09-01,200
2019-10-01,168
2019-11-01,298
2019-12-01,310
2020-01-01,425
2020-02-01,279
2020-03-01,369
2020-04-01,217
2020-05-01,149
2020-06-01,105
2020-07-01,106
2020-08-01,186
2020-09-01,118
2020-10-01,186
2020-11-01,226
2020-12-01,331
2021-01-01,371
2021-02-01,322
2021-03-01,506
2021-04-01,257
2021-05-01,148
2021-06-01,152
2021-07-01,144
2021-08-01,110
2021-09-01,128
2021-10-01,166
2021-11-01,242
2021-12-01,310
2022-01-01,402
2022-02-01,619
2022-03-01,399
2022-04-01,229
2022-05-01,133
2022-06-01,109
2022-07-01,168
2022-08-01,113
2022-09-01,123
2022-10-01,177
2022-11-01,306
2022-12-01,563
2023-01-01,863
2023-02-01,1105
2023-03-01,1044
2023-04-01,330
2023-05-01,215
2023-06-01,194
2023-07-01,291
2023-08-01,138
2023-09-01,338
2023-10-01,257
2023-11-01,375
2023-12-01,546
2024-01-01,894
2024-02-01,586
2024-03-01,532
2024-04-01,334
2024-05-01,164
2024-06-01,288
2024-07-01,446
2024-08-01,318
2024-09-01,465
2024-10-01,383
2024-11-01,460
2024-12-01,862
2025-01-01,816
2025-02-01,673
2025-03-01,504
2025-04-01,395
2025-05-01,150
2025-06-01,255
2025-07-01,754
2025-08-01,425
2025-09-01,347
2025-10-01,594
2025-11-01,450
2025-12-01,587
2026-01-01,513
2026-02-01,509
