Date,Value
2011-01-01,1408
2011-02-01,2674
2011-03-01,212
2011-04-01,579
2011-05-01,179
2011-06-01,606
2011-07-01,34
2011-08-01,642
2011-09-01,270
2011-10-01,1367
2011-11-01,826
2011-12-01,1150
2012-01-01,326
2012-02-01,264
2012-03-01,147
2012-04-01,899
2012-05-01,1654
2012-06-01,1086
2012-07-01,217
2012-08-01,801
2012-09-01,1053
2012-10-01,1472
2012-11-01,121
2012-12-01,61
2013-01-01,693
2013-02-01,176
2013-04-01,1080
2013-05-01,14
2013-08-01,21
2013-09-01,194
2013-11-01,114
2013-12-01,19
2014-01-01,247
2014-02-01,117
2014-03-01,453
2014-05-01,994
2014-06-01,5
2014-08-01,653
2014-09-01,569
2014-10-01,574
2014-11-01,791
2014-12-01,246
2015-01-01,23
2015-04-01,136
2015-05-01,223
2015-06-01,142
2015-07-01,151
2015-08-01,484
2015-09-01,57
2015-10-01,61
2015-11-01,501
2015-12-01,182
2016-01-01,321
2016-02-01,147
2016-03-01,159
2016-05-01,381
2016-06-01,525
2016-08-01,2
2016-09-01,19
2016-10-01,151
2016-11-01,48
2017-09-01,360
2017-10-01,74
2017-12-01,28
2019-07-01,151
2019-08-01,302
2019-10-01,150
2019-11-01,107
2020-06-01,146
2022-02-01,75
