Date,Value
2011-01-01,873
2011-02-01,767
2011-03-01,704
2011-04-01,412
2011-05-01,240
2011-06-01,192
2011-07-01,197
2011-08-01,188
2011-09-01,135
2011-10-01,37
2011-11-01,53
2011-12-01,167
2012-01-01,573
2012-02-01,505
2012-03-01,424
2012-04-01,324
2012-05-01,197
2012-06-01,201
2012-07-01,211
2012-08-01,179
2012-09-01,174
2012-10-01,224
2012-11-01,418
2012-12-01,562
2013-01-01,588
2013-02-01,581
2013-03-01,537
2013-04-01,346
2013-05-01,91
2013-06-01,159
2013-07-01,184
2013-08-01,164
2013-09-01,191
2013-10-01,265
2013-11-01,430
2013-12-01,612
2014-01-01,666
2014-02-01,575
2014-03-01,574
2014-04-01,283
2014-05-01,176
2014-06-01,152
2014-07-01,169
2014-08-01,165
2014-09-01,163
2014-10-01,172
2014-11-01,331
2014-12-01,394
2015-01-01,589
2015-02-01,609
2015-03-01,486
2015-04-01,216
2015-05-01,84
2015-06-01,80
2015-07-01,89
2015-08-01,76
2015-09-01,79
2015-10-01,217
2015-11-01,273
2015-12-01,252
2016-01-01,480
2016-02-01,492
2016-03-01,363
2016-04-01,261
2016-05-01,133
2016-06-01,80
2016-07-01,92
2016-08-01,95
2016-09-01,81
2016-10-01,117
2016-11-01,149
2016-12-01,427
2017-01-01,392
2017-02-01,410
2017-03-01,501
2017-04-01,214
2017-05-01,162
2017-06-01,107
2017-07-01,76
2017-08-01,73
2017-09-01,72
2017-10-01,98
2017-11-01,184
2017-12-01,555
2018-01-01,658
2018-02-01,483
2018-03-01,440
2018-04-01,365
2018-05-01,117
2018-06-01,71
2018-07-01,82
2018-08-01,85
2018-09-01,78
2018-10-01,226
2018-11-01,434
2018-12-01,527
2019-01-01,652
2019-02-01,564
2019-03-01,480
2019-04-01,307
2019-05-01,188
2019-06-01,102
2019-07-01,74
2019-08-01,75
2019-09-01,84
2019-10-01,171
2019-11-01,455
2019-12-01,503
2020-01-01,524
2020-02-01,541
2020-03-01,391
2020-04-01,224
2020-05-01,138
2020-06-01,78
2020-07-01,71
2020-08-01,71
2020-09-01,77
2020-10-01,198
2020-11-01,293
2020-12-01,518
2021-01-01,570
2021-02-01,563
2021-03-01,461
2021-04-01,224
2021-05-01,131
2021-06-01,57
2021-07-01,59
2021-08-01,59
2021-09-01,57
2021-10-01,129
2021-11-01,363
2021-12-01,468
2022-01-01,679
2022-02-01,571
2022-03-01,465
2022-04-01,293
2022-05-01,67
2022-06-01,35
2022-07-01,37
2022-08-01,36
2022-09-01,39
2022-10-01,159
2022-11-01,302
2022-12-01,467
2023-01-01,541
2023-02-01,490
2023-03-01,447
2023-04-01,213
2023-05-01,100
2023-06-01,36
2023-07-01,36
2023-08-01,36
2023-09-01,37
2023-10-01,75
2023-11-01,302
2023-12-01,404
2024-01-01,512
2024-02-01,386
2024-03-01,337
2024-04-01,199
2024-05-01,92
2024-06-01,35
2024-07-01,39
2024-08-01,36
2024-09-01,35
2024-10-01,145
2024-11-01,262
2024-12-01,442
2025-01-01,601
2025-02-01,540
2025-03-01,372
2025-04-01,216
2025-05-01,70
2025-06-01,38
2025-07-01,36
2025-08-01,36
2025-09-01,35
2025-10-01,117
2025-11-01,330
2025-12-01,527
2026-01-01,584
2026-02-01,497
