Date,Value
2011-01-01,3.97
2011-02-01,3.89
2011-03-01,3.73
2011-04-01,4.04
2011-05-01,4.06
2011-06-01,4.14
2011-07-01,4.05
2011-08-01,3.87
2011-09-01,3.7
2011-10-01,3.41
2011-11-01,3.23
2011-12-01,3.02
2012-01-01,2.7
2012-02-01,2.31
2012-03-01,1.89
2012-04-01,1.75
2012-05-01,1.89
2012-06-01,2.1
2012-07-01,2.29
2012-08-01,2.5
2012-09-01,2.37
2012-10-01,2.82
2012-11-01,3.34
2012-12-01,3.42
2013-01-01,3.2
2013-02-01,3.1
2013-03-01,3.23
2013-04-01,3.62
2013-05-01,3.69
2013-06-01,3.5
2013-07-01,3.06
2013-08-01,2.72
2013-09-01,2.58
2013-10-01,3.1
2013-11-01,3.38
2013-12-01,3.62
2014-01-01,4.18
2014-02-01,6.02
2014-03-01,6.22
2014-04-01,4.54
2014-05-01,4.39
2014-06-01,4.44
2014-07-01,4.2
2014-08-01,3.7
2014-09-01,3.78
2014-10-01,3.63
2014-11-01,3.61
2014-12-01,3.71
2015-01-01,2.87
2015-02-01,2.66
2015-03-01,2.55
2015-04-01,2.37
2015-05-01,2.33
2015-06-01,2.35
2015-07-01,2.35
2015-08-01,2.45
2015-09-01,2.4
2015-10-01,2.27
2015-11-01,2.05
2015-12-01,1.98
2016-01-01,1.95
2016-02-01,1.74
2016-03-01,1.34
2016-04-01,1.2
2016-05-01,1.22
2016-06-01,1.46
2016-07-01,1.98
2016-08-01,1.95
2016-09-01,2.17
2016-10-01,2.32
2016-11-01,2.33
2016-12-01,2.69
2017-01-01,2.88
2017-02-01,2.44
2017-03-01,2.16
2017-04-01,2.31
2017-05-01,2.39
2017-06-01,2.3
2017-07-01,2.03
2017-08-01,1.95
2017-09-01,1.68
2017-10-01,1.7
2017-11-01,2.13
2017-12-01,2.49
2018-01-01,2.19
2018-02-01,2.25
2018-03-01,1.84
2018-04-01,1.78
2018-05-01,1.52
2018-06-01,1.62
2018-07-01,1.8
2018-08-01,1.72
2018-09-01,1.78
2018-10-01,1.91
2018-11-01,2.67
2018-12-01,2.82
2019-01-01,2.41
2019-02-01,2.77
2019-03-01,2.52
2019-04-01,1.63
2019-05-01,1.71
2019-06-01,1.38
2019-07-01,1.46
2019-08-01,1.27
2019-09-01,1.3
2019-10-01,1.9
2019-11-01,2.47
2019-12-01,2.21
2020-01-01,2.11
2020-02-01,1.79
2020-03-01,1.58
2020-04-01,1.49
2020-05-01,1.65
2020-06-01,1.6
2020-07-01,1.55
2020-08-01,1.87
2020-09-01,2.04
2020-10-01,1.96
2020-11-01,2.61
2020-12-01,2.47
2021-01-01,2.39
2021-02-01,6.17
2021-03-01,2.58
2021-04-01,2.44
2021-05-01,2.7
2021-06-01,2.88
2021-07-01,3.28
2021-08-01,3.27
2021-09-01,3.65
2021-10-01,4.64
2021-11-01,4.96
2021-12-01,4.3
2022-01-01,4.42
2022-02-01,4.7
2022-03-01,4.42
2022-04-01,5.2
2022-05-01,6.36
2022-06-01,6.95
2022-07-01,5.86
2022-08-01,5.47
2022-09-01,5.78
2022-10-01,4.04
2022-11-01,5.17
2022-12-01,5.72
2023-01-01,3.52
2023-02-01,2.89
2023-03-01,2.79
2023-04-01,1.96
2023-05-01,1.9
2023-06-01,1.97
2023-07-01,1.89
2023-08-01,1.94
2023-09-01,2.14
2023-10-01,2.0
2023-11-01,2.47
2023-12-01,2.04
2024-01-01,3.74
2024-02-01,1.8
2024-03-01,1.44
2024-04-01,1.24
2024-05-01,1.28
2024-06-01,1.35
2024-07-01,1.21
2024-08-01,0.96
2024-09-01,0.94
2024-10-01,1.37
2024-11-01,1.67
2024-12-01,2.09
2025-01-01,2.32
2025-02-01,2.37
2025-03-01,2.23
2025-04-01,2.25
2025-05-01,2.02
2025-06-01,1.7
2025-07-01,1.41
2025-08-01,1.27
2025-09-01,0.83
2025-10-01,1.76
2025-11-01,2.16
2025-12-01,2.67
2026-01-01,3.0
2026-02-01,2.17
