Date,Value
2011-01-01,4.38
2011-02-01,4.22
2011-03-01,3.95
2011-04-01,4.26
2011-05-01,4.35
2011-06-01,4.44
2011-07-01,4.3
2011-08-01,4.24
2011-09-01,3.91
2011-10-01,3.69
2011-11-01,3.45
2011-12-01,3.29
2012-01-01,2.91
2012-02-01,2.54
2012-03-01,2.2
2012-04-01,1.99
2012-05-01,2.22
2012-06-01,2.31
2012-07-01,2.7
2012-08-01,2.74
2012-09-01,2.65
2012-10-01,3.29
2012-11-01,3.56
2012-12-01,3.5
2013-01-01,3.39
2013-02-01,3.31
2013-03-01,3.67
2013-04-01,4.05
2013-05-01,4.01
2013-06-01,3.8
2013-07-01,3.36
2013-08-01,3.15
2013-09-01,3.2
2013-10-01,3.49
2013-11-01,3.53
2013-12-01,4.13
2014-01-01,5.89
2014-02-01,9.02
2014-03-01,7.97
2014-04-01,4.67
2014-05-01,4.54
2014-06-01,4.53
2014-07-01,4.1
2014-08-01,3.83
2014-09-01,3.86
2014-10-01,3.63
2014-11-01,3.87
2014-12-01,3.56
2015-01-01,2.91
2015-02-01,3.1
2015-03-01,2.68
2015-04-01,2.29
2015-05-01,2.49
2015-06-01,2.32
2015-07-01,2.38
2015-08-01,2.41
2015-09-01,2.33
2015-10-01,2.07
2015-11-01,1.86
2015-12-01,1.77
2016-01-01,1.95
2016-02-01,1.75
2016-03-01,1.47
2016-04-01,1.54
2016-05-01,1.51
2016-06-01,1.88
2016-07-01,2.27
2016-08-01,2.3
2016-09-01,2.43
2016-10-01,2.48
2016-11-01,2.34
2016-12-01,3.15
2017-01-01,3.22
2017-02-01,2.68
2017-03-01,2.52
2017-04-01,2.65
2017-05-01,2.71
2017-06-01,2.72
2017-07-01,2.48
2017-08-01,2.36
2017-09-01,2.32
2017-10-01,1.96
2017-11-01,2.21
2017-12-01,2.15
2018-01-01,2.76
2018-02-01,2.66
2018-03-01,2.14
2018-04-01,2.05
2018-05-01,1.92
2018-06-01,2.02
2018-07-01,2.1
2018-08-01,2.12
2018-09-01,2.17
2018-10-01,2.32
2018-11-01,3.19
2018-12-01,3.24
2019-01-01,2.89
2019-02-01,2.4
2019-03-01,2.56
2019-04-01,1.94
2019-05-01,1.79
2019-06-01,1.59
2019-07-01,1.61
2019-08-01,1.56
2019-09-01,1.53
2019-10-01,1.58
2019-11-01,2.13
2019-12-01,1.86
2020-01-01,1.68
2020-02-01,1.43
2020-03-01,1.27
2020-04-01,1.25
2020-05-01,1.36
2020-06-01,1.24
2020-07-01,1.27
2020-08-01,1.63
2020-09-01,1.6
2020-10-01,1.68
2020-11-01,2.23
2020-12-01,2.2
2021-01-01,2.18
2021-02-01,10.22
2021-03-01,2.28
2021-04-01,2.17
2021-05-01,2.42
2021-06-01,2.26
2021-07-01,3.16
2021-08-01,3.38
2021-09-01,4.09
2021-10-01,4.73
2021-11-01,4.73
2021-12-01,3.75
2022-01-01,4.08
2022-02-01,4.55
2022-03-01,4.25
2022-04-01,5.72
2022-05-01,7.09
2022-06-01,7.21
2022-07-01,5.98
2022-08-01,7.09
2022-09-01,6.48
2022-10-01,4.57
2022-11-01,4.37
2022-12-01,5.9
2023-01-01,3.98
2023-02-01,2.82
2023-03-01,2.15
2023-04-01,1.69
2023-05-01,1.64
2023-06-01,1.76
2023-07-01,2.01
2023-08-01,2.0
2023-09-01,2.02
2023-10-01,2.05
2023-11-01,2.34
2023-12-01,2.14
2024-01-01,3.6
2024-02-01,2.05
2024-03-01,1.26
2024-04-01,1.15
2024-05-01,1.24
2024-06-01,1.54
2024-07-01,1.51
2024-08-01,1.28
2024-09-01,1.32
2024-10-01,1.69
2024-11-01,1.65
2024-12-01,2.64
2025-01-01,3.5
2025-02-01,3.33
2025-03-01,2.89
2025-04-01,2.67
2025-05-01,2.31
2025-06-01,2.21
2025-07-01,2.35
2025-08-01,2.19
2025-09-01,2.12
2025-10-01,2.23
2025-11-01,2.86
2025-12-01,3.49
2026-01-01,6.79
2026-02-01,4.91
