Date,Value
2011-01-01,35222
2011-02-01,28023
2011-03-01,21841
2011-04-01,13715
2011-05-01,12079
2011-06-01,14620
2011-07-01,21184
2011-08-01,14405
2011-09-01,12504
2011-10-01,15162
2011-11-01,18131
2011-12-01,24944
2012-01-01,30005
2012-02-01,25448
2012-03-01,20375
2012-04-01,12699
2012-05-01,12562
2012-06-01,17240
2012-07-01,19119
2012-08-01,16870
2012-09-01,14930
2012-10-01,17082
2012-11-01,26948
2012-12-01,28228
2013-01-01,30284
2013-02-01,28462
2013-03-01,30812
2013-04-01,14028
2013-05-01,9391
2013-06-01,10773
2013-07-01,15366
2013-08-01,7708
2013-09-01,8022
2013-10-01,9364
2013-11-01,22246
2013-12-01,28215
2014-01-01,30895
2014-02-01,25231
2014-03-01,24163
2014-04-01,13176
2014-05-01,9354
2014-06-01,11036
2014-07-01,9386
2014-08-01,6935
2014-09-01,7869
2014-10-01,8422
2014-11-01,17343
2014-12-01,23409
2015-01-01,31386
2015-02-01,30303
2015-03-01,30097
2015-04-01,10141
2015-05-01,2827
2015-06-01,2720
2015-07-01,5889
2015-08-01,5975
2015-09-01,5506
2015-10-01,14520
2015-11-01,19502
2015-12-01,16327
2016-01-01,30677
2016-02-01,23633
2016-03-01,14383
2016-04-01,20933
2016-05-01,14148
2016-06-01,8754
2016-07-01,16551
2016-08-01,18618
2016-09-01,8939
2016-10-01,6122
2016-11-01,7733
2016-12-01,26605
2017-01-01,24188
2017-02-01,20142
2017-03-01,22084
2017-04-01,5633
2017-05-01,3244
2017-06-01,2801
2017-07-01,5257
2017-08-01,3614
2017-09-01,1855
2017-10-01,6756
2017-11-01,13498
2017-12-01,29342
2018-01-01,32191
2018-02-01,18996
2018-03-01,25070
2018-04-01,18739
2018-05-01,1276
2018-06-01,3701
2018-07-01,9290
2018-08-01,11161
2018-09-01,4852
2018-10-01,6508
2018-11-01,17817
2018-12-01,25892
2019-01-01,31336
2019-02-01,25853
2019-03-01,21722
2019-04-01,4680
2019-05-01,728
2019-06-01,1745
2019-07-01,10787
2019-08-01,7500
2019-09-01,1811
2019-10-01,1513
2019-11-01,19597
2019-12-01,30508
2020-01-01,26333
2020-02-01,25415
2020-03-01,12594
2020-04-01,6282
2020-05-01,1074
2020-06-01,6989
2020-07-01,14100
2020-08-01,8689
2020-09-01,3892
2020-10-01,7123
2020-11-01,9297
2020-12-01,25770
2021-01-01,31049
2021-02-01,27821
2021-03-01,17092
2021-04-01,5587
2021-05-01,1959
2021-06-01,6959
2021-07-01,8013
2021-08-01,14417
2021-09-01,7519
2021-10-01,6058
2021-11-01,18017
2021-12-01,22224
2022-01-01,31600
2022-02-01,25874
2022-03-01,18362
2022-04-01,10955
2022-05-01,7518
2022-06-01,6988
2022-07-01,15780
2022-08-01,12464
2022-09-01,5788
2022-10-01,7033
2022-11-01,14431
2022-12-01,23461
2023-01-01,21760
2023-02-01,18334
2023-03-01,15951
2023-04-01,3320
2023-05-01,1749
2023-06-01,9104
2023-07-01,14795
2023-08-01,5983
2023-09-01,5427
2023-10-01,2519
2023-11-01,17798
2023-12-01,17101
2024-01-01,26885
2024-02-01,20659
2024-03-01,11056
2024-04-01,7245
2024-05-01,5985
2024-06-01,10721
2024-07-01,16655
2024-08-01,11618
2024-09-01,9881
2024-10-01,10127
2024-11-01,18262
2024-12-01,26340
2025-01-01,26424
2025-02-01,23360
2025-03-01,12431
2025-04-01,9772
2025-05-01,4870
2025-06-01,10531
2025-07-01,20511
2025-08-01,13150
2025-09-01,5538
2025-10-01,7850
2025-11-01,19738
2025-12-01,27428
2026-01-01,27608
2026-02-01,24841
