Date,Value
1983-01-01,52856
1984-01-01,52840
1985-01-01,54710
1986-01-01,50172
1987-01-01,48599
1988-01-01,51573
1989-01-01,51424
1990-01-01,52546
1991-01-01,54005
1992-01-01,52532
1993-01-01,55989
1994-01-01,62682
1995-01-01,65283
1996-01-01,67648
1997-01-01,62187
1998-01-01,65951
1999-01-01,63607
2000-01-01,65610
2001-01-01,65753
2002-01-01,63439
2003-01-01,65698
2004-01-01,62099
2005-01-01,65124
2006-01-01,60765
2007-01-01,46501
2008-01-01,39164
2009-01-01,30536
2010-01-01,30100
2011-01-01,15271
2012-01-01,9342
2014-01-01,13310
2015-01-01,8262
