Date,Value
2011-01-01,8088
2011-02-01,6402
2011-03-01,7296
2011-04-01,6783
2011-05-01,8836
2011-06-01,8269
2011-07-01,8446
2011-08-01,8426
2011-09-01,8391
2011-10-01,8707
2011-11-01,8242
2011-12-01,8835
2012-01-01,8532
2012-02-01,8205
2012-03-01,8778
2012-04-01,8084
2012-05-01,8785
2012-06-01,9016
2012-07-01,9247
2012-08-01,9565
2012-09-01,8973
2012-10-01,8388
2012-11-01,7076
2012-12-01,6935
2013-01-01,9196
2013-02-01,8473
2013-03-01,8533
2013-04-01,9141
2013-05-01,9363
2013-06-01,8941
2013-07-01,8169
2013-08-01,9913
2013-09-01,9206
2013-10-01,9303
2013-11-01,8502
2013-12-01,9834
2014-01-01,9531
2014-02-01,8079
2014-03-01,8962
2014-04-01,9815
2014-05-01,10710
2014-06-01,10862
2014-07-01,11053
2014-08-01,11252
2014-09-01,11285
2014-10-01,10649
2014-11-01,11636
2014-12-01,9836
2015-01-01,9847
2015-02-01,8967
2015-03-01,9685
2015-04-01,9542
2015-05-01,11218
2015-06-01,10795
2015-07-01,11494
2015-08-01,11429
2015-09-01,11802
2015-10-01,9933
2015-11-01,10528
2015-12-01,10783
2016-01-01,10886
2016-02-01,10268
2016-03-01,9973
2016-04-01,10806
2016-05-01,11804
2016-06-01,11321
2016-07-01,11559
2016-08-01,11130
2016-09-01,10701
2016-10-01,12259
2016-11-01,8352
2016-12-01,8708
2017-01-01,7551
2017-02-01,6551
2017-03-01,7907
2017-04-01,8104
2017-05-01,7509
2017-06-01,7420
2017-07-01,9295
2017-08-01,4296
2017-09-01,3835
2017-10-01,3201
2017-11-01,4447
2017-12-01,4530
2018-01-01,3424
2018-02-01,3082
2018-03-01,3151
2018-04-01,3138
2018-05-01,3178
2018-06-01,3172
2018-07-01,3274
2018-08-01,2478
2018-09-01,2865
2018-10-01,2792
2018-11-01,2215
2018-12-01,2817
2019-01-01,3042
2019-02-01,2872
2019-03-01,3066
2019-04-01,2681
2019-05-01,3042
2019-06-01,2780
2019-07-01,2851
2019-08-01,2778
2019-09-01,2709
2019-10-01,2554
2019-11-01,1406
2019-12-01,2648
2020-01-01,2912
2020-02-01,2397
2020-03-01,3043
2020-04-01,2571
2020-05-01,2635
2020-06-01,2859
2020-07-01,2779
2020-08-01,2401
2020-09-01,1977
2020-10-01,2380
2020-11-01,1739
2020-12-01,2104
2021-01-01,2272
2021-02-01,1970
2021-03-01,2053
2021-04-01,2753
2021-05-01,3019
2021-06-01,2935
2021-07-01,2968
2021-08-01,2980
2021-09-01,2900
2021-10-01,2860
2021-11-01,2801
2021-12-01,2643
2022-01-01,2707
2022-02-01,2416
2022-03-01,2761
2022-04-01,2503
2022-05-01,2643
2022-06-01,2314
2022-07-01,2828
2022-08-01,2043
2022-09-01,1715
2022-10-01,1887
2022-11-01,1901
2022-12-01,1783
2023-01-01,1892
2023-02-01,1773
2023-03-01,2134
2023-04-01,2533
2023-05-01,2787
2023-06-01,2244
2023-07-01,2252
2023-08-01,1961
2023-09-01,2289
2023-10-01,2102
2023-11-01,2050
2023-12-01,2194
2024-01-01,1277
2024-02-01,1651
2024-03-01,1838
2024-04-01,2624
2024-05-01,2773
2024-06-01,2674
2024-07-01,2877
2024-08-01,2957
2024-09-01,2543
2024-10-01,2852
2024-11-01,2017
2024-12-01,2166
2025-01-01,2100
2025-02-01,2064
2025-03-01,2557
2025-04-01,1862
2025-05-01,2701
2025-06-01,2412
2025-07-01,2731
2025-08-01,2556
2025-09-01,2367
2025-10-01,1925
2025-11-01,1916
2025-12-01,2106
2026-01-01,2186
2026-02-01,2209
