Date,Value
1996-01-01,30410
1997-01-01,31080
1998-01-01,24908
1999-01-01,25049
2000-01-01,36007
2001-01-01,35644
2002-01-01,7431
2003-01-01,19737
2004-01-01,40030
2005-01-01,40255
2006-01-01,22156
2007-01-01,22904
2008-01-01,27220
2009-01-01,43980
2010-01-01,44275
2011-01-01,43690
2012-01-01,50347
2013-01-01,50439
2014-01-01,46981
2015-01-01,37528
2016-01-01,31558
2017-01-01,37164
2018-01-01,30589
2019-01-01,24030
2020-01-01,18446
2021-01-01,20900
2022-01-01,19840
2023-01-01,17759
2024-01-01,19278
2025-01-01,17447
