Date,Value
1996-01-01,3405
1997-01-01,3901
1998-01-01,4133
1999-01-01,4041
2000-01-01,8829
2001-01-01,8050
2002-01-01,10938
2003-01-01,10551
2004-01-01,7292
2005-01-01,7223
2006-01-01,15647
2007-01-01,16102
2008-01-01,46437
2009-01-01,43953
2010-01-01,44470
2011-01-01,44836
2012-01-01,46069
2013-01-01,53679
2014-01-01,64072
2015-01-01,67144
2016-01-01,81826
2017-01-01,88171
2018-01-01,67968
2019-01-01,61497
2020-01-01,60733
2021-01-01,54297
2022-01-01,49665
2023-01-01,46287
2024-01-01,48157
2025-01-01,66973
