Date,Value
2011-01-01,4.77
2011-02-01,4.97
2011-03-01,4.44
2011-04-01,4.94
2011-05-01,5.0
2011-06-01,4.95
2011-07-01,5.04
2011-08-01,4.61
2011-09-01,4.61
2011-10-01,4.39
2011-11-01,4.11
2011-12-01,3.94
2012-01-01,3.67
2012-02-01,3.24
2012-03-01,3.02
2012-04-01,2.78
2012-05-01,2.63
2012-06-01,3.1
2012-07-01,3.43
2012-08-01,3.78
2012-09-01,3.28
2012-10-01,3.64
2012-11-01,4.04
2012-12-01,4.38
2013-01-01,4.06
2013-02-01,3.97
2013-03-01,4.09
2013-04-01,4.67
2013-05-01,4.97
2013-06-01,4.9
2013-07-01,4.38
2013-08-01,4.23
2013-09-01,4.25
2013-10-01,4.2
2013-11-01,4.27
2013-12-01,4.66
2014-01-01,5.13
2014-02-01,6.13
2014-03-01,5.56
2014-04-01,5.4
2014-05-01,5.54
2014-06-01,5.24
2014-07-01,5.32
2014-08-01,4.67
2014-09-01,4.78
2014-10-01,4.75
2014-11-01,4.5
2014-12-01,5.18
2015-01-01,4.36
2015-02-01,4.15
2015-03-01,4.03
2015-04-01,3.9
2015-05-01,3.77
2015-06-01,3.43
2015-07-01,3.89
2015-08-01,3.93
2015-09-01,3.91
2015-10-01,3.61
2015-11-01,3.16
2015-12-01,3.52
2016-01-01,3.41
2016-02-01,3.18
2016-03-01,2.64
2016-04-01,3.06
2016-05-01,3.13
2016-06-01,3.0
2016-07-01,3.71
2016-08-01,3.89
2016-09-01,3.98
2016-10-01,3.95
2016-11-01,4.1
2016-12-01,4.19
2017-01-01,4.63
2017-02-01,4.5
2017-03-01,3.76
2017-04-01,4.32
2017-05-01,4.33
2017-06-01,4.56
2017-07-01,4.37
2017-08-01,4.1
2017-09-01,4.08
2017-10-01,4.04
2017-11-01,3.93
2017-12-01,4.14
2018-01-01,3.85
2018-02-01,4.93
2018-03-01,3.79
2018-04-01,3.94
2018-05-01,4.08
2018-06-01,4.15
2018-07-01,4.02
2018-08-01,4.05
2018-09-01,4.07
2018-10-01,4.29
2018-11-01,4.54
2018-12-01,5.85
2019-01-01,4.88
2019-02-01,4.21
2019-03-01,3.86
2019-04-01,3.36
2019-05-01,3.59
2019-06-01,3.62
2019-07-01,3.46
2019-08-01,3.19
2019-09-01,3.29
2019-10-01,3.45
2019-11-01,3.62
2019-12-01,3.22
2020-01-01,3.18
2020-02-01,2.93
2020-03-01,2.88
2020-04-01,2.77
2020-05-01,3.23
2020-06-01,2.81
2020-07-01,2.58
2020-08-01,2.96
2020-09-01,3.65
2020-10-01,3.23
2020-11-01,4.05
2020-12-01,3.91
2021-01-01,3.59
2021-02-01,3.81
2021-03-01,4.02
2021-04-01,3.68
2021-05-01,4.14
2021-06-01,4.21
2021-07-01,4.84
2021-08-01,5.16
2021-09-01,5.5
2021-10-01,7.29
2021-11-01,8.89
2021-12-01,7.08
2022-01-01,6.09
2022-02-01,7.45
2022-03-01,5.45
2022-04-01,6.22
2022-05-01,8.24
2022-06-01,9.07
2022-07-01,7.61
2022-08-01,9.15
2022-09-01,9.74
2022-10-01,6.42
2022-11-01,5.59
2022-12-01,7.25
2023-01-01,5.5
2023-02-01,3.77
2023-03-01,3.24
2023-04-01,2.55
2023-05-01,2.98
2023-06-01,3.12
2023-07-01,3.45
2023-08-01,3.34
2023-09-01,3.45
2023-10-01,3.46
2023-11-01,3.76
2023-12-01,3.65
2024-01-01,3.55
2024-02-01,3.16
2024-03-01,2.46
2024-04-01,2.43
2024-05-01,2.49
2024-06-01,3.33
2024-07-01,3.49
2024-08-01,2.7
2024-09-01,2.76
2024-10-01,3.27
2024-11-01,2.89
2024-12-01,4.25
2025-01-01,4.54
2025-02-01,4.27
2025-03-01,4.14
2025-04-01,4.4
2025-05-01,3.73
2025-06-01,3.87
2025-07-01,3.84
2025-08-01,3.65
2025-09-01,3.58
2025-10-01,3.57
2025-11-01,3.97
2025-12-01,5.15
2026-01-01,5.13
2026-02-01,7.38
