Date,Value
2011-01-01,958
2011-02-01,860
2011-03-01,509
2011-04-01,487
2011-05-01,503
2011-06-01,482
2011-07-01,449
2011-08-01,452
2011-09-01,456
2011-10-01,531
2011-11-01,670
2011-12-01,1024
2012-01-01,710
2012-02-01,783
2012-03-01,648
2012-04-01,505
2012-05-01,407
2012-06-01,432
2012-07-01,469
2012-08-01,490
2012-09-01,383
2012-10-01,409
2012-11-01,493
2012-12-01,510
2013-01-01,571
2013-02-01,446
2013-03-01,632
2013-04-01,481
2013-05-01,440
2013-06-01,409
2013-07-01,819
2013-08-01,448
2013-09-01,321
2013-10-01,245
2013-11-01,287
2013-12-01,557
2014-01-01,507
2014-02-01,623
2014-03-01,636
2014-04-01,492
2014-05-01,393
2014-06-01,153
2014-07-01,165
2014-08-01,153
2014-09-01,121
2014-10-01,123
2014-11-01,267
2014-12-01,422
2015-01-01,587
2015-02-01,514
2015-03-01,496
2015-04-01,301
2015-05-01,159
2015-06-01,255
2015-07-01,129
2015-08-01,154
2015-09-01,165
2015-10-01,146
2015-11-01,180
2015-12-01,288
2016-01-01,387
2016-02-01,155
2016-03-01,185
2016-04-01,2318
2016-05-01,2597
2016-06-01,2470
2016-07-01,2411
2016-08-01,2193
2016-09-01,2262
2016-10-01,2118
2016-11-01,2051
2016-12-01,2167
2017-01-01,3043
2017-02-01,2590
2017-03-01,2762
2017-04-01,2736
2017-05-01,2860
2017-06-01,6890
2017-07-01,510
2017-08-01,1421
2017-09-01,2199
2017-10-01,4501
2017-11-01,4661
2017-12-01,7302
2018-01-01,5433
2018-02-01,6846
2018-03-01,6954
2018-04-01,6956
2018-05-01,6897
2018-06-01,8329
2018-07-01,10265
2018-08-01,10497
2018-09-01,11331
2018-10-01,10203
2018-11-01,7820
2018-12-01,9060
2019-01-01,9459
2019-02-01,7298
2019-03-01,7564
2019-04-01,8249
2019-05-01,8749
2019-06-01,8284
2019-07-01,8760
2019-08-01,9097
2019-09-01,8231
2019-10-01,7046
2019-11-01,7628
2019-12-01,8848
2020-01-01,8995
2020-02-01,7088
2020-03-01,6057
2020-04-01,5557
2020-05-01,4915
2020-06-01,6690
2020-07-01,7514
2020-08-01,8619
2020-09-01,7206
2020-10-01,7373
2020-11-01,8347
2020-12-01,7329
2021-01-01,8933
2021-02-01,6148
2021-03-01,8428
2021-04-01,8289
2021-05-01,7511
2021-06-01,7455
2021-07-01,8311
2021-08-01,8457
2021-09-01,8067
2021-10-01,8901
2021-11-01,8745
2021-12-01,8645
2022-01-01,9205
2022-02-01,6909
2022-03-01,8169
2022-04-01,7036
2022-05-01,7618
2022-06-01,8122
2022-07-01,8388
2022-08-01,8468
2022-09-01,7686
2022-10-01,8015
2022-11-01,6887
2022-12-01,7477
2023-01-01,7443
2023-02-01,6157
2023-03-01,8116
2023-04-01,7185
2023-05-01,7678
2023-06-01,8131
2023-07-01,7569
2023-08-01,7043
2023-09-01,7848
2023-10-01,8838
2023-11-01,8339
2023-12-01,7073
2024-01-01,7046
2024-02-01,9781
2024-03-01,9553
2024-04-01,8791
2024-05-01,13758
2024-06-01,14189
2024-07-01,13160
2024-08-01,10586
2024-09-01,13074
2024-10-01,12476
2024-11-01,9669
2024-12-01,10716
2025-01-01,10359
2025-02-01,9996
2025-03-01,10623
2025-04-01,9888
2025-05-01,8734
2025-06-01,9791
2025-07-01,10472
2025-08-01,10453
2025-09-01,9535
2025-10-01,9542
2025-11-01,8802
2025-12-01,5825
2026-01-01,6907
2026-02-01,5892
