Date,Value
2012-09-01,3.12
2012-10-01,3.52
2012-11-01,3.68
2012-12-01,3.64
2013-03-01,4.31
2013-04-01,4.29
2013-05-01,4.35
2013-06-01,4.05
2013-07-01,3.83
2013-08-01,3.61
2013-09-01,3.8
2013-10-01,3.95
2013-11-01,3.99
2013-12-01,4.52
2014-01-01,4.98
2014-02-01,6.18
2014-03-01,5.17
2014-04-01,5.01
2014-05-01,4.9
2014-06-01,4.9
2014-07-01,4.47
2014-08-01,4.2
2014-09-01,4.22
2014-10-01,4.22
2014-11-01,4.22
2014-12-01,4.19
2015-01-01,3.37
2015-09-01,2.71
2015-10-01,2.72
2015-11-01,2.44
2015-12-01,2.15
2016-01-01,2.57
2016-02-01,2.09
2016-03-01,2.21
2016-07-01,2.95
2016-08-01,2.85
2016-09-01,3.01
2017-08-01,3.22
2017-10-01,3.12
2017-11-01,3.04
2017-12-01,3.06
2018-01-01,3.73
2018-02-01,2.81
2018-03-01,2.82
2018-04-01,2.93
2018-05-01,3.14
2018-06-01,3.04
2018-07-01,3.19
2018-08-01,3.13
2018-09-01,3.21
2018-10-01,3.49
2018-11-01,3.78
2018-12-01,4.86
2019-01-01,3.84
2019-02-01,3.28
2019-03-01,2.87
2019-04-01,2.95
2019-05-01,2.79
2019-06-01,2.68
2019-07-01,2.51
2019-08-01,2.39
2019-09-01,2.51
2019-10-01,2.5
2019-11-01,2.69
2019-12-01,2.58
2020-01-01,2.29
2020-02-01,2.09
2020-03-01,2.04
2020-04-01,1.84
2020-05-01,4.41
2020-06-01,1.88
2020-07-01,1.68
2020-08-01,2.06
2020-09-01,2.61
2020-10-01,2.35
2020-11-01,2.98
2020-12-01,2.86
2021-01-01,2.65
2021-02-01,7.57
2021-03-01,2.99
2021-04-01,2.71
2021-05-01,3.18
2021-06-01,3.28
2021-07-01,3.91
2021-08-01,4.24
2021-09-01,4.53
2021-10-01,5.97
2021-11-01,6.16
2021-12-01,5.52
2022-01-01,4.8
2022-02-01,6.43
2022-03-01,4.53
2022-04-01,5.4
2022-05-01,7.12
2022-06-01,8.83
2022-07-01,6.45
2022-08-01,8.42
2022-09-01,8.7
2022-10-01,5.33
2022-11-01,4.53
2022-12-01,6.18
2023-01-01,4.44
2023-02-01,2.86
2023-03-01,2.26
2023-04-01,1.81
2023-05-01,1.95
2023-06-01,2.11
2023-07-01,2.66
2023-08-01,2.48
2023-09-01,2.58
2023-10-01,2.64
2023-11-01,2.85
2023-12-01,2.68
2024-01-01,2.68
2024-02-01,2.56
2024-03-01,1.54
2024-04-01,1.54
2024-05-01,1.56
2024-06-01,2.44
2024-07-01,2.45
2024-08-01,1.79
2024-09-01,1.9
2024-10-01,2.61
2024-11-01,2.04
2024-12-01,3.32
2025-01-01,3.73
2025-02-01,3.35
2025-03-01,3.3
2025-04-01,3.38
2025-05-01,2.9
2025-06-01,2.98
2025-07-01,3.01
2025-08-01,2.79
2025-09-01,2.79
2025-10-01,2.82
2025-11-01,3.29
2025-12-01,4.24
2026-01-01,4.36
2026-02-01,5.11
