Date,Value
2011-01-01,4.52
2011-02-01,4.36
2011-03-01,3.99
2011-04-01,4.35
2011-05-01,4.41
2011-06-01,4.53
2011-07-01,4.49
2011-08-01,4.45
2011-09-01,3.99
2011-10-01,3.74
2011-11-01,3.5
2011-12-01,3.34
2012-01-01,3.08
2012-02-01,2.66
2012-03-01,2.41
2012-04-01,2.16
2012-05-01,2.32
2012-06-01,2.54
2012-07-01,2.98
2012-08-01,3.2
2012-09-01,2.83
2012-10-01,3.3
2012-11-01,3.61
2012-12-01,3.62
2013-01-01,3.47
2013-02-01,3.42
2013-03-01,3.75
2013-04-01,4.3
2013-05-01,4.28
2013-06-01,4.13
2013-07-01,3.79
2013-08-01,3.6
2013-09-01,3.73
2013-10-01,3.7
2013-11-01,3.75
2013-12-01,4.06
2014-01-01,4.63
2014-02-01,5.89
2014-03-01,4.9
2014-04-01,4.73
2014-05-01,4.75
2014-06-01,4.81
2014-07-01,4.56
2014-08-01,4.18
2014-09-01,4.2
2014-10-01,4.2
2014-11-01,4.2
2014-12-01,4.29
2015-01-01,3.49
2015-02-01,3.26
2015-03-01,3.13
2015-04-01,2.85
2015-05-01,2.86
2015-06-01,2.93
2015-07-01,2.97
2015-08-01,2.85
2015-09-01,2.79
2015-10-01,2.66
2015-11-01,2.29
2015-12-01,2.3
2016-01-01,2.44
2016-02-01,2.23
2016-03-01,1.89
2016-04-01,2.02
2016-05-01,2.09
2016-06-01,2.44
2016-07-01,2.99
2016-08-01,2.92
2016-09-01,3.06
2016-10-01,3.27
2016-11-01,2.74
2016-12-01,3.5
2017-01-01,3.52
2017-02-01,3.3
2017-03-01,2.97
2017-04-01,3.31
2017-05-01,3.28
2017-06-01,3.22
2017-07-01,3.13
2017-08-01,3.06
2017-09-01,3.16
2017-10-01,3.07
2017-11-01,3.11
2017-12-01,3.07
2018-01-01,3.46
2018-02-01,3.27
2018-03-01,2.81
2018-04-01,2.96
2018-05-01,3.04
2018-06-01,3.04
2018-07-01,3.13
2018-08-01,3.26
2018-09-01,3.34
2018-10-01,3.46
2018-11-01,3.77
2018-12-01,4.91
2019-01-01,4.0
2019-02-01,3.36
2019-03-01,3.07
2019-04-01,3.08
2019-05-01,2.9
2019-06-01,2.7
2019-07-01,2.63
2019-08-01,2.43
2019-09-01,2.52
2019-10-01,2.55
2019-11-01,2.76
2019-12-01,2.54
2020-01-01,2.29
2020-02-01,2.09
2020-03-01,2.02
2020-04-01,1.99
2020-05-01,2.0
2020-06-01,1.92
2020-07-01,1.86
2020-08-01,2.19
2020-09-01,2.8
2020-10-01,2.47
2020-11-01,3.2
2020-12-01,3.06
2021-01-01,2.86
2021-02-01,16.74
2021-03-01,3.07
2021-04-01,2.86
2021-05-01,3.27
2021-06-01,3.39
2021-07-01,4.07
2021-08-01,4.38
2021-09-01,5.05
2021-10-01,5.95
2021-11-01,6.19
2021-12-01,5.55
2022-01-01,5.0
2022-02-01,6.65
2022-03-01,4.79
2022-04-01,5.97
2022-05-01,7.75
2022-06-01,8.99
2022-07-01,6.9
2022-08-01,8.79
2022-09-01,8.99
2022-10-01,5.6
2022-11-01,4.85
2022-12-01,6.4
2023-01-01,4.65
2023-02-01,3.04
2023-03-01,2.54
2023-04-01,2.09
2023-05-01,2.26
2023-06-01,2.47
2023-07-01,2.8
2023-08-01,2.69
2023-09-01,2.77
2023-10-01,2.81
2023-11-01,2.96
2023-12-01,2.82
2024-01-01,3.01
2024-02-01,3.0
2024-03-01,1.9
2024-04-01,1.86
2024-05-01,2.21
2024-06-01,2.76
2024-07-01,2.39
2024-08-01,1.95
2024-09-01,2.18
2024-10-01,2.62
2024-11-01,2.25
2024-12-01,3.05
2025-01-01,4.01
2025-02-01,3.63
2025-03-01,3.42
2025-04-01,3.08
2025-05-01,3.09
2025-06-01,2.98
2025-07-01,3.17
2025-08-01,2.97
2025-09-01,2.8
2025-10-01,2.88
2025-11-01,3.41
2025-12-01,3.92
2026-01-01,7.53
2026-02-01,5.22
