Date,Value
2011-01-01,4.54
2011-02-01,4.21
2011-03-01,4.89
2011-04-01,4.12
2011-05-01,4.3
2011-06-01,4.58
2011-07-01,4.46
2011-08-01,4.09
2011-09-01,4.0
2011-10-01,3.56
2011-11-01,3.57
2011-12-01,3.37
2012-01-01,2.93
2012-02-01,2.8
2012-03-01,2.2
2012-04-01,2.15
2012-05-01,2.34
2012-06-01,2.55
2012-07-01,3.03
2012-08-01,2.9
2012-09-01,2.94
2012-10-01,3.59
2012-11-01,4.03
2012-12-01,3.77
2013-01-01,3.77
2013-02-01,3.63
2013-03-01,4.04
2013-04-01,4.38
2013-05-01,4.27
2013-06-01,4.17
2013-07-01,3.91
2013-08-01,3.61
2013-09-01,3.88
2013-10-01,3.74
2013-11-01,4.04
2013-12-01,4.59
2014-01-01,5.98
2014-02-01,17.87
2014-03-01,6.88
2014-04-01,4.86
2014-05-01,4.56
2014-07-01,4.62
2014-09-01,4.09
2014-10-01,3.85
2014-11-01,4.71
2014-12-01,3.15
2015-01-01,3.29
2015-02-01,4.03
2015-03-01,3.93
2015-04-01,2.81
2015-05-01,2.95
2015-06-01,3.87
2015-07-01,3.43
2015-08-01,4.03
2015-09-01,4.02
2015-10-01,3.08
2015-11-01,2.06
2015-12-01,2.19
2016-01-01,2.42
2016-02-01,2.14
2016-03-01,1.9
2016-04-01,1.68
2016-05-01,1.76
2016-06-01,2.09
2016-07-01,2.34
2016-08-01,2.38
2016-09-01,2.49
2016-10-01,2.36
2016-11-01,2.46
2016-12-01,3.55
2017-01-01,3.34
2017-02-01,2.96
2017-03-01,2.85
2017-04-01,2.85
2017-06-01,2.67
2017-07-01,2.78
2017-08-01,2.57
2017-09-01,2.63
2017-10-01,2.45
2017-11-01,2.8
2017-12-01,3.01
2018-01-01,4.31
2018-02-01,2.61
2018-03-01,2.47
2018-04-01,2.5
2018-05-01,2.29
2018-06-01,2.57
2018-07-01,2.61
2018-08-01,2.86
2018-09-01,2.8
2018-10-01,3.52
2018-11-01,4.65
2018-12-01,3.89
2019-01-01,3.36
2019-02-01,2.79
2019-03-01,3.27
2019-04-01,2.26
2019-05-01,2.27
2019-06-01,2.14
2019-07-01,2.01
2019-08-01,1.85
2019-09-01,1.96
2019-10-01,1.96
2019-11-01,2.51
2019-12-01,2.12
2020-01-01,2.0
2020-02-01,1.76
2020-03-01,1.69
2020-04-01,1.63
2020-05-01,1.68
2020-06-01,1.54
2020-07-01,1.63
2020-08-01,2.0
2020-09-01,1.8
2020-10-01,2.49
2020-11-01,2.37
2020-12-01,2.4
2021-01-01,2.48
2021-02-01,3.95
2021-03-01,2.54
2021-04-01,2.5
2021-05-01,2.74
2021-06-01,3.09
2021-07-01,3.56
2021-08-01,3.54
2021-09-01,3.91
2021-10-01,4.59
2021-11-01,4.68
2021-12-01,3.72
2022-01-01,4.25
2022-02-01,4.62
2022-03-01,4.47
2022-04-01,6.33
2022-05-01,7.41
2022-06-01,7.15
2022-07-01,6.08
2022-08-01,7.72
2022-09-01,6.37
2022-10-01,4.77
2022-11-01,4.74
2022-12-01,5.55
2023-01-01,3.23
2023-02-01,2.52
2023-03-01,2.42
2023-04-01,2.02
2023-05-01,1.92
2023-06-01,1.81
2023-07-01,1.94
2023-08-01,2.27
2023-09-01,2.18
2023-10-01,1.93
2023-11-01,2.87
2023-12-01,2.17
2024-01-01,6.71
2024-02-01,1.63
2024-03-01,1.47
2024-04-01,1.35
2024-05-01,1.39
2024-06-01,0.8
2024-07-01,0.87
2024-08-01,1.0
2024-09-01,0.54
2024-10-01,1.76
2024-11-01,1.2
2024-12-01,2.3
2025-01-01,2.62
2025-02-01,3.09
2025-03-01,2.1
2025-04-01,1.93
2025-05-01,1.74
2025-06-01,1.45
2025-07-01,0.68
2025-08-01,1.36
2025-09-01,0.09
2025-10-01,0.95
2025-11-01,2.48
2025-12-01,3.48
2026-01-01,3.91
2026-02-01,2.15
