Date,Value
1999-01-01,
2000-01-01,
2001-01-01,
2002-01-01,11450.0
2003-01-01,50797.0
2004-01-01,75950.0
2005-01-01,85815.0
2006-01-01,95710.0
2007-01-01,91539.0
2008-01-01,103540.0
2009-01-01,95394.0
2010-01-01,36683.0
2011-01-01,87259.0
2012-01-01,103050.0
2013-01-01,99468.0
2014-01-01,112077.0
2015-01-01,115615.0
2016-01-01,115228.0
2017-01-01,108218.0
2018-01-01,122836.0
2019-01-01,122203.0
2020-01-01,110790.0
2021-01-01,127468.0
2022-01-01,121907.0
2023-01-01,119186.0
2024-01-01,132439.0
2025-01-01,140888.0
