Date,Value
2011-01-01,252
2011-02-01,1324
2011-03-01,824
2011-04-01,1017
2011-05-01,871
2011-06-01,770
2011-07-01,354
2011-08-01,155
2011-10-01,916
2011-11-01,331
2011-12-01,57
2018-01-01,4
2018-02-01,4078
2018-03-01,4515
2018-04-01,4408
2018-05-01,4816
2018-06-01,4626
2018-07-01,2986
2018-08-01,3524
2018-09-01,3641
2018-10-01,2992
2018-11-01,2846
2018-12-01,2901
2019-01-01,3010
2019-02-01,2718
2019-03-01,3010
2019-04-01,2863
2019-05-01,3010
2019-06-01,2718
2024-05-01,1
2024-07-01,59
2024-08-01,51
2024-09-01,327
2024-10-01,127
2024-11-01,128
2024-12-01,308
2025-01-01,5
2025-02-01,10
2025-06-01,10
