Date,Value
2011-01-01,4.73
2011-02-01,4.36
2011-03-01,4.18
2011-04-01,4.5
2011-05-01,4.5
2011-06-01,4.6
2011-07-01,4.76
2011-08-01,4.53
2011-09-01,4.13
2011-10-01,4.0
2011-11-01,3.96
2011-12-01,3.76
2012-01-01,3.32
2012-02-01,3.11
2012-03-01,2.69
2012-04-01,2.41
2012-05-01,2.48
2012-06-01,2.7
2012-07-01,3.14
2012-08-01,3.24
2012-09-01,3.1
2012-10-01,3.57
2012-11-01,4.11
2012-12-01,3.92
2013-01-01,3.74
2013-02-01,3.68
2013-03-01,4.2
2013-04-01,4.46
2013-05-01,4.51
2013-06-01,4.36
2013-07-01,4.09
2013-08-01,3.98
2013-09-01,4.05
2013-10-01,3.96
2013-11-01,3.83
2013-12-01,4.49
2014-01-01,5.47
2014-02-01,11.53
2014-03-01,10.62
2014-04-01,5.16
2014-05-01,5.18
2014-06-01,5.06
2014-07-01,4.87
2014-11-01,5.09
2014-12-01,4.25
2015-01-01,3.59
2015-02-01,4.45
2015-03-01,3.53
2015-04-01,2.87
2015-05-01,3.08
2015-06-01,2.85
2016-01-01,2.53
2016-02-01,2.46
2016-03-01,1.96
2016-04-01,1.96
2016-10-01,3.13
2016-11-01,2.7
2016-12-01,4.14
2017-01-01,3.79
2017-02-01,3.11
2017-03-01,3.12
2017-04-01,3.37
2017-05-01,3.31
2017-06-01,3.0
2017-07-01,3.01
2017-08-01,2.97
2017-09-01,3.08
2017-10-01,2.92
2017-11-01,3.34
2017-12-01,3.13
2018-01-01,4.06
2018-02-01,2.94
2018-03-01,2.76
2018-04-01,3.17
2018-05-01,2.76
2018-06-01,2.92
2018-07-01,2.93
2018-08-01,3.19
2018-09-01,3.1
2018-10-01,3.46
2018-11-01,4.5
2018-12-01,4.1
2019-01-01,3.37
2019-02-01,2.9
2019-03-01,3.17
2019-04-01,2.66
2019-05-01,2.58
2019-06-01,2.34
2019-07-01,2.33
2019-08-01,2.22
2019-09-01,2.34
2019-10-01,2.23
2019-11-01,2.85
2019-12-01,2.42
2020-01-01,2.13
2020-02-01,1.9
2020-03-01,1.77
2020-04-01,1.8
2020-05-01,1.81
2020-06-01,1.72
2020-07-01,1.83
2020-08-01,2.16
2020-09-01,1.95
2020-10-01,2.16
2020-11-01,2.54
2020-12-01,2.61
2021-01-01,2.69
2021-02-01,4.04
2021-03-01,2.69
2021-04-01,2.71
2021-05-01,2.94
2021-06-01,3.28
2021-07-01,3.76
2021-08-01,4.08
2021-09-01,4.97
2021-10-01,5.47
2021-11-01,5.45
2021-12-01,4.14
2022-01-01,4.35
2022-02-01,4.97
2022-03-01,4.85
2022-04-01,6.42
2022-05-01,8.48
2022-06-01,7.89
2022-07-01,7.23
2022-08-01,9.06
2022-09-01,7.6
2022-10-01,5.4
2022-11-01,5.54
2022-12-01,5.73
2023-01-01,3.78
2023-02-01,2.97
2023-03-01,2.75
2023-04-01,2.3
2023-05-01,2.33
2023-06-01,2.34
2023-07-01,2.55
2023-08-01,2.58
2023-09-01,2.56
2023-10-01,2.45
2023-11-01,2.59
2023-12-01,2.33
2024-01-01,3.81
2024-02-01,1.93
2024-03-01,1.79
2024-04-01,1.62
2024-05-01,1.73
2024-06-01,1.77
2024-07-01,1.62
2024-08-01,1.56
2024-09-01,1.72
2024-10-01,1.87
2024-11-01,1.94
2024-12-01,2.84
2025-01-01,3.86
2025-02-01,4.19
2025-03-01,2.85
2025-04-01,2.54
2025-05-01,2.35
2025-06-01,2.27
2025-07-01,0.93
2025-08-01,1.85
2025-09-01,2.81
2025-10-01,2.88
2025-11-01,3.54
2025-12-01,4.17
2026-01-01,6.71
2026-02-01,3.78
