Date,Value
1983-01-01,310811
1984-01-01,299360
1985-01-01,411380
1986-01-01,348306
1987-01-01,483547
1988-01-01,503451
1989-01-01,501477
1990-01-01,514597
1991-01-01,496967
1992-01-01,496451
1993-01-01,511727
1994-01-01,723071
1995-01-01,823478
1996-01-01,842114
1997-01-01,856503
1998-01-01,879840
1999-01-01,800345
2000-01-01,830351
2001-01-01,824248
2002-01-01,759471
2003-01-01,655731
2004-01-01,708308
2005-01-01,634982
2006-01-01,690781
2007-01-01,726365
2008-01-01,688530
2009-01-01,693780
2010-01-01,708795
2011-01-01,606089
2012-01-01,634194
2013-01-01,686444
2014-01-01,608147
2015-01-01,673531
2016-01-01,728183
2017-01-01,760451
2018-01-01,822506
2019-01-01,818374
2020-01-01,843781
2021-01-01,853296
2022-01-01,897491
2023-01-01,911014
2024-01-01,912732
