Date,Value
1983-01-01,127253
1984-01-01,125715
1985-01-01,143229
1986-01-01,86434
1987-01-01,167324
1988-01-01,303500
1989-01-01,309084
1990-01-01,327628
1991-01-01,377125
1992-01-01,452467
1993-01-01,511188
1994-01-01,532768
1995-01-01,570396
1996-01-01,576420
1997-01-01,572977
1998-01-01,580548
1999-01-01,805614
2000-01-01,798420
2001-01-01,749260
2002-01-01,766770
2003-01-01,745373
2004-01-01,739770
2005-01-01,708615
2006-01-01,675744
2007-01-01,758709
2008-01-01,649639
2009-01-01,489931
2010-01-01,696684
2011-01-01,673022
2012-01-01,749725
2013-01-01,716822
2014-01-01,540243
2015-01-01,534772
2016-01-01,593170
2017-01-01,549872
2018-01-01,464207
2019-01-01,384091
2020-01-01,275682
2021-01-01,292121
2022-01-01,298057
2023-01-01,200852
2024-01-01,189773
