Date,Value
1980-01-01,3063
1981-01-01,2576
1982-01-01,5243
1983-01-01,256
1984-01-01,3089
1985-01-01,289
1986-01-01,154
1987-01-01,670
1988-01-01,477
1989-01-01,1008
1990-01-01,1196
1991-01-01,2012
1992-01-01,4659
1993-01-01,5671
1994-01-01,3867
1995-01-01,2346
1996-01-01,5262
1997-01-01,2134
1998-01-01,1269
1999-01-01,1697
2000-01-01,1226
2001-01-01,702
2002-01-01,943
2003-01-01,3153
2004-01-01,1665
2005-01-01,2626
2006-01-01,2438
2007-01-01,3080
2008-01-01,3178
2009-01-01,1652
2010-01-01,1458
2011-01-01,1858
2012-01-01,1408
2013-01-01,2252
2014-01-01,2054
2015-01-01,1827
2016-01-01,912
2017-01-01,1370
2018-01-01,3585
2019-01-01,2087
2020-01-01,1000
2021-01-01,2375
2022-01-01,2581
2023-01-01,1836
2024-01-01,762
