Date,Value
1980-01-01,24
1981-01-01,57
1982-01-01,151
1983-01-01,84
1984-01-01,28
1985-01-01,121
1986-01-01,77
1987-01-01,24
1988-01-01,41
1989-01-01,89
1990-01-01,4
1991-01-01,11
1992-01-01,12
1993-01-01,31
1994-01-01,60
1995-01-01,56
1996-01-01,94
1997-01-01,14
1998-01-01,16
1999-01-01,12
2000-01-01,73
2001-01-01,51
2002-01-01,7
2003-01-01,14
2004-01-01,5
2005-01-01,0
2006-01-01,3
2007-01-01,2
2008-01-01,0
2012-01-01,0
2014-01-01,0
2015-01-01,0
2017-01-01,0
2018-01-01,0
2020-01-01,0
2021-01-01,0
2022-01-01,0
2023-01-01,0
2024-01-01,0
