Date,Value
1980-01-01,13
1981-01-01,94
1982-01-01,382
1983-01-01,1248
1984-01-01,19
1985-01-01,110
1986-01-01,14
1987-01-01,18
1988-01-01,44
1989-01-01,348
1990-01-01,12
1991-01-01,18
1992-01-01,20
1993-01-01,74
1994-01-01,491
1995-01-01,52
1996-01-01,738
1997-01-01,333
1998-01-01,24
1999-01-01,48
2000-01-01,242
2001-01-01,22
2002-01-01,79
2003-01-01,781
2004-01-01,155
2005-01-01,206
2006-01-01,11
2007-01-01,271
2008-01-01,81
2009-01-01,66
2010-01-01,40
2011-01-01,27
2012-01-01,6
2013-01-01,34
2014-01-01,263
2015-01-01,80
2016-01-01,134
2017-01-01,195
2018-01-01,129
2019-01-01,79
2020-01-01,25
2021-01-01,2306
2022-01-01,510
2023-01-01,0
2024-01-01,0
