Date,Value
1987-01-01,872148
1988-01-01,894380
1989-01-01,911001
1990-01-01,946107
1991-01-01,970941
1992-01-01,998201
1993-01-01,1074631
1994-01-01,1049263
1995-01-01,1080009
1996-01-01,1103709
1997-01-01,1134019
1998-01-01,1161423
1999-01-01,1190190
2000-01-01,1222397
2001-01-01,1249748
2002-01-01,1282751
2003-01-01,1308143
2004-01-01,1338061
2005-01-01,1364237
2006-01-01,1401362
2007-01-01,1401623
2008-01-01,1413162
2009-01-01,1423703
2010-01-01,1429681
2011-01-01,1436063
2012-01-01,1445824
2013-01-01,1459134
2014-01-01,1472663
2015-01-01,1496790
2016-01-01,1506297
2017-01-01,1523997
2018-01-01,1543581
2019-01-01,1559872
2020-01-01,1582365
2021-01-01,1602690
2022-01-01,1624665
2023-01-01,1644691
2024-01-01,1663597
