Date,Value
1987-01-01,2237877
1988-01-01,2271801
1989-01-01,2291242
1990-01-01,2311795
1991-01-01,2333377
1992-01-01,2363575
1993-01-01,2386249
1994-01-01,2393053
1995-01-01,2413715
1996-01-01,2431909
1997-01-01,2452524
1998-01-01,2493639
1999-01-01,2486704
2000-01-01,2519794
2001-01-01,2542724
2002-01-01,2559024
2003-01-01,2572584
2004-01-01,2591458
2005-01-01,2600574
2006-01-01,2605782
2007-01-01,2620755
2008-01-01,2631340
2009-01-01,2635886
2010-01-01,2646211
2011-01-01,2667392
2012-01-01,2678547
2013-01-01,2693190
2014-01-01,2709812
2015-01-01,2736015
2016-01-01,2758101
2017-01-01,2767411
2018-01-01,2801376
2019-01-01,2821188
2020-01-01,2845197
2021-01-01,2864907
2022-01-01,2881739
2023-01-01,2888916
2024-01-01,2895337
