Date,Value
1987-01-01,15553
1988-01-01,16616
1989-01-01,16920
1990-01-01,18300
1991-01-01,19879
1992-01-01,20468
1993-01-01,21553
1994-01-01,22546
1995-01-01,23523
1996-01-01,24383
1997-01-01,25539
1998-01-01,26664
1999-01-01,27931
2000-01-01,28532
2001-01-01,29463
2002-01-01,30108
2003-01-01,30856
2004-01-01,31971
2005-01-01,33015
2006-01-01,34081
2007-01-01,34937
2008-01-01,35929
2009-01-01,37242
2010-01-01,38047
2011-01-01,38839
2012-01-01,39917
2013-01-01,41152
2014-01-01,42231
2015-01-01,43267
2016-01-01,44244
2017-01-01,45275
2018-01-01,46372
2019-01-01,47122
2020-01-01,47739
2021-01-01,48229
2022-01-01,48791
2023-01-01,49381
2024-01-01,49358
