Date,Value
1993-01-01,0.88
1994-01-01,0.84
1995-01-01,0.79
1996-01-01,0.82
1997-01-01,0.8
1998-01-01,0.8
1999-01-01,0.81
2000-01-01,0.81
2001-01-01,0.81
2002-01-01,0.81
2003-01-01,0.79
2004-01-01,0.79
2005-01-01,0.84
2006-01-01,0.79
2007-01-01,0.79
2008-01-01,0.73
2009-01-01,0.76
2010-01-01,0.87
2011-01-01,0.82
2012-01-01,0.91
2013-01-01,0.88
2014-01-01,0.9
2015-01-01,0.95
2016-01-01,0.93
2017-01-01,0.89
2018-01-01,0.99
2019-01-01,0.94
2020-01-01,0.94
2021-01-01,0.99
2022-01-01,0.9
2023-01-01,0.9
2024-01-01,0.88
