Date,Value
1993-01-01,6.3
1994-01-01,6.32
1995-01-01,6.4
1996-01-01,6.38
1997-01-01,5.98
1998-01-01,5.45
1999-01-01,5.89
2000-01-01,5.87
2001-01-01,5.75
2002-01-01,5.6
2003-01-01,5.85
2004-01-01,5.6
2005-01-01,5.82
2006-01-01,5.43
2007-01-01,5.43
2008-01-01,5.46
2009-01-01,5.25
2010-01-01,4.91
2011-01-01,5.18
2012-01-01,5.0
2013-01-01,5.2
2014-01-01,5.38
2015-01-01,5.26
2016-01-01,5.1
2017-01-01,5.14
2018-01-01,5.13
2019-01-01,5.17
2020-01-01,5.07
2021-01-01,4.91
2022-01-01,5.11
2023-01-01,4.88
2024-01-01,4.63
