Date,Value
1967-01-01,1361
1968-01-01,2357
1969-01-01,2755
1970-01-01,3130
1971-01-01,4752
1972-01-01,5337
1973-01-01,4092
1974-01-01,3277
1975-01-01,3604
1976-01-01,3548
1977-01-01,2913
1978-01-01,3042
1979-01-01,2644
1980-01-01,2752
1981-01-01,2692
1982-01-01,3687
1983-01-01,3254
1984-01-01,2459
1985-01-01,2034
1986-01-01,1898
1987-01-01,1761
1988-01-01,1789
1989-01-01,1841
1990-01-01,1814
1991-01-01,1731
1992-01-01,1745
1993-01-01,1618
1994-01-01,1659
1995-01-01,1985
1996-01-01,2145
1997-01-01,2079
1998-01-01,2055
1999-01-01,2063
2000-01-01,1932
2001-01-01,1132
2002-01-01,1094
2003-01-01,1191
2004-01-01,1312
2005-01-01,1197
2006-01-01,1289
2007-01-01,1399
2008-01-01,1334
2009-01-01,1258
2010-01-01,1225
2011-01-01,1489
2012-01-01,1515
2013-01-01,1411
2014-01-01,1338
2015-01-01,1363
2016-01-01,1174
2017-01-01,1132
2018-01-01,1045
2019-01-01,1045
2020-01-01,1180
2021-01-01,1186
2022-01-01,1122
2023-01-01,1129
2024-01-01,1138
