Date,Value
1967-01-01,0
1968-01-01,0
1969-01-01,0
1970-01-01,0
1971-01-01,0
1972-01-01,0
1973-01-01,0
1974-01-01,0
1975-01-01,0
1976-01-01,0
1977-01-01,0
1978-01-01,0
1979-01-01,0
1980-01-01,860
1981-01-01,1000
1982-01-01,1042
1983-01-01,1061
1984-01-01,1037
1985-01-01,1084
1986-01-01,1085
1987-01-01,953
1988-01-01,1320
1989-01-01,1386
1990-01-01,1190
1991-01-01,1374
1992-01-01,1437
1993-01-01,1458
1994-01-01,1324
1995-01-01,1536
1996-01-01,1493
1997-01-01,1656
1998-01-01,1582
1999-01-01,1473
2000-01-01,1596
2001-01-01,1530
2002-01-01,1686
2003-01-01,1618
2004-01-01,1671
2005-01-01,1703
2006-01-01,1643
2007-01-01,1946
2008-01-01,1837
2009-01-01,1818
2010-01-01,1877
2011-01-01,1681
2012-01-01,1572
2013-01-01,1730
2014-01-01,1741
2015-01-01,1716
2016-01-01,1582
2017-01-01,1613
2018-01-01,1666
2019-01-01,1615
2020-01-01,1514
2021-01-01,1489
2022-01-01,1552
2023-01-01,1457
2024-01-01,1421
