Date,Value
1980-01-01,572
1981-01-01,537
1982-01-01,592
1983-01-01,437
1984-01-01,462
1985-01-01,619
1986-01-01,628
1987-01-01,697
1988-01-01,718
1989-01-01,749
1990-01-01,784
1991-01-01,771
1992-01-01,768
1993-01-01,659
1994-01-01,784
1995-01-01,778
1996-01-01,755
1997-01-01,629
1998-01-01,633
1999-01-01,633
2000-01-01,640
2001-01-01,630
2002-01-01,618
2003-01-01,625
2004-01-01,699
2005-01-01,714
2006-01-01,712
2007-01-01,721
2008-01-01,696
2009-01-01,691
2010-01-01,697
2011-01-01,691
2012-01-01,727
2013-01-01,713
2014-01-01,692
2015-01-01,678
2016-01-01,832
2017-01-01,838
2018-01-01,884
2019-01-01,876
2020-01-01,585
2021-01-01,701
2022-01-01,786
2023-01-01,781
2024-01-01,776
