Date,Value
1967-01-01,490
1968-01-01,418
1969-01-01,468
1970-01-01,644
1971-01-01,721
1972-01-01,613
1973-01-01,665
1974-01-01,574
1975-01-01,649
1976-01-01,636
1977-01-01,769
1978-01-01,638
1979-01-01,628
1980-01-01,432
1981-01-01,1043
1982-01-01,434
1983-01-01,397
1984-01-01,381
1985-01-01,380
1986-01-01,405
1987-01-01,364
1988-01-01,392
1989-01-01,416
1990-01-01,395
1991-01-01,418
1992-01-01,457
1993-01-01,464
1994-01-01,449
1995-01-01,417
1996-01-01,400
1997-01-01,411
1998-01-01,369
1999-01-01,387
2000-01-01,398
2001-01-01,381
2002-01-01,701
2003-01-01,636
2004-01-01,626
2005-01-01,586
2006-01-01,575
2007-01-01,690
2008-01-01,692
2009-01-01,629
2010-01-01,642
2011-01-01,681
2012-01-01,718
2013-01-01,714
2014-01-01,765
2015-01-01,847
2016-01-01,705
2017-01-01,709
2018-01-01,737
2019-01-01,755
2020-01-01,669
2021-01-01,667
2022-01-01,746
2023-01-01,633
2024-01-01,618
