Date,Value
1967-01-01,1010
1968-01-01,1179
1969-01-01,1063
1970-01-01,1188
1971-01-01,1132
1972-01-01,1234
1973-01-01,1234
1974-01-01,1281
1975-01-01,1381
1976-01-01,1356
1977-01-01,1021
1978-01-01,1185
1979-01-01,1204
1980-01-01,1103
1981-01-01,942
1982-01-01,1053
1983-01-01,883
1984-01-01,884
1985-01-01,920
1986-01-01,757
1987-01-01,664
1988-01-01,812
1989-01-01,852
1990-01-01,803
1991-01-01,888
1992-01-01,790
1993-01-01,841
1994-01-01,833
1995-01-01,869
1996-01-01,881
1997-01-01,771
1998-01-01,699
1999-01-01,666
2000-01-01,712
2001-01-01,664
2002-01-01,725
2003-01-01,676
2004-01-01,637
2005-01-01,600
2006-01-01,555
2007-01-01,605
2008-01-01,642
2009-01-01,623
2010-01-01,578
2011-01-01,596
2012-01-01,543
2013-01-01,667
2014-01-01,677
2015-01-01,577
2016-01-01,536
2017-01-01,577
2018-01-01,632
2019-01-01,664
2020-01-01,615
2021-01-01,572
2022-01-01,696
2023-01-01,649
2024-01-01,587
