Date,Value
1987-01-01,18294
1988-01-01,18921
1989-01-01,19924
1990-01-01,20694
1991-01-01,22124
1992-01-01,22799
1993-01-01,23207
1994-01-01,24521
1995-01-01,25593
1996-01-01,26613
1997-01-01,27629
1998-01-01,29030
1999-01-01,30521
2000-01-01,31789
2001-01-01,32782
2002-01-01,33877
2003-01-01,34590
2004-01-01,35792
2005-01-01,37093
2006-01-01,38546
2007-01-01,40128
2008-01-01,41098
2009-01-01,41303
2010-01-01,40801
2011-01-01,40944
2012-01-01,41192
2013-01-01,41710
2014-01-01,42338
2015-01-01,42860
2016-01-01,43422
2017-01-01,43966
2018-01-01,44615
2019-01-01,45373
2020-01-01,46111
2021-01-01,46515
2022-01-01,47265
2023-01-01,47896
2024-01-01,48582
