Date,Value
1987-01-01,51365
1988-01-01,56487
1989-01-01,55231
1990-01-01,58148
1991-01-01,60887
1992-01-01,63391
1993-01-01,65810
1994-01-01,68118
1995-01-01,70781
1996-01-01,73708
1997-01-01,75550
1998-01-01,77770
1999-01-01,80995
2000-01-01,83189
2001-01-01,84628
2002-01-01,85286
2003-01-01,87082
2004-01-01,93559
2005-01-01,92417
2006-01-01,93628
2007-01-01,95615
2008-01-01,97799
2009-01-01,98965
2010-01-01,99231
2011-01-01,99674
2012-01-01,100038
2013-01-01,100939
2014-01-01,101730
2015-01-01,102266
2016-01-01,103369
2017-01-01,104573
2018-01-01,105560
2019-01-01,106779
2020-01-01,107156
2021-01-01,107840
2022-01-01,108368
2023-01-01,108777
2024-01-01,109130
