Date,Value
1990-01-01,2.4
1991-01-01,2.6
1992-01-01,2.3
1993-01-01,2.2
1994-01-01,2.2
1995-01-01,2.4
1996-01-01,2.9
1997-01-01,2.5
1998-01-01,3.4
1999-01-01,5.5
2000-01-01,32.6
2001-01-01,43.4
2002-01-01,57.7
2003-01-01,57.7
2004-01-01,58.8
2005-01-01,60.1
2006-01-01,56.1
2007-01-01,56.4
2008-01-01,57.1
2009-01-01,58.4
2010-01-01,59.8
2011-01-01,61.5
2012-01-01,63.0
2013-01-01,66.7
2014-01-01,67.8
2015-01-01,68.1
2016-01-01,69.9
2017-01-01,69.6
2018-01-01,70.0
2019-01-01,70.8
2020-01-01,70.9
2021-01-01,69.7
2022-01-01,69.3
2023-01-01,68.6
2024-01-01,68.4
