Date,Value
1989-01-01,7.7
1990-01-01,14.0
1991-01-01,14.1
1992-01-01,14.5
1993-01-01,15.4
1994-01-01,16.7
1995-01-01,16.7
1996-01-01,17.8
1997-01-01,20.1
1998-01-01,21.7
1999-01-01,21.4
2000-01-01,20.0
2001-01-01,19.2
2002-01-01,20.0
2003-01-01,19.5
2004-01-01,22.6
2005-01-01,22.9
2006-01-01,23.6
2007-01-01,23.1
2008-01-01,22.5
2009-01-01,23.3
2010-01-01,23.5
2011-01-01,26.9
2012-01-01,30.8
2013-01-01,27.7
2014-01-01,29.5
2015-01-01,28.8
2016-01-01,27.9
2017-01-01,28.3
2018-01-01,25.9
2019-01-01,26.4
2020-01-01,28.3
2021-01-01,28.0
2022-01-01,27.6
2023-01-01,29.0
2024-01-01,29.7
