Date,Value
1987-01-01,949
1988-01-01,1191
1989-01-01,864
1990-01-01,1092
1991-01-01,1961
1992-01-01,1680
1993-01-01,2129
1994-01-01,2992
1995-01-01,3163
1996-01-01,3316
1997-01-01,4312
1998-01-01,6635
1999-01-01,5885
2000-01-01,3987
2001-01-01,3403
2002-01-01,4893
2003-01-01,5347
2004-01-01,4232
2005-01-01,4237
2006-01-01,4139
2007-01-01,4115
2008-01-01,4496
2009-01-01,5076
2010-01-01,5144
2011-01-01,5247
2012-01-01,5029
2013-01-01,5365
2014-01-01,5332
2015-01-01,6091
2016-01-01,6363
2017-01-01,6249
2018-01-01,6709
2019-01-01,6364
2020-01-01,6454
2021-01-01,7511
2022-01-01,7583
2023-01-01,6992
2024-01-01,7223
