Date,Value
1987-01-01,590
1988-01-01,997
1989-01-01,1274
1990-01-01,2804
1991-01-01,2826
1992-01-01,4719
1993-01-01,5902
1994-01-01,7039
1995-01-01,9062
1996-01-01,8712
1997-01-01,13705
1998-01-01,16267
1999-01-01,20043
2000-01-01,22239
2001-01-01,20479
2002-01-01,24189
2003-01-01,21972
2004-01-01,23508
2005-01-01,23790
2006-01-01,25017
2007-01-01,27351
2008-01-01,27379
2009-01-01,29016
2010-01-01,30179
2011-01-01,29504
2012-01-01,28857
2013-01-01,30949
2014-01-01,31875
2015-01-01,31821
2016-01-01,32627
2017-01-01,33181
2018-01-01,35411
2019-01-01,34770
2020-01-01,33645
2021-01-01,33871
2022-01-01,34404
2023-01-01,32734
2024-01-01,33346
