Date,Value
1993-01-01,0.61
1994-01-01,0.58
1995-01-01,0.57
1996-01-01,0.56
1997-01-01,0.78
1998-01-01,0.46
1999-01-01,0.46
2000-01-01,0.49
2001-01-01,0.37
2002-01-01,0.36
2003-01-01,0.31
2004-01-01,0.32
2005-01-01,0.36
2006-01-01,0.35
2007-01-01,0.31
2008-01-01,0.32
2009-01-01,0.39
2010-01-01,0.34
2011-01-01,0.3
2012-01-01,0.24
2013-01-01,0.19
2014-01-01,0.19
2015-01-01,0.2
2016-01-01,0.2
2017-01-01,0.2
2018-01-01,0.19
2019-01-01,0.22
2020-01-01,0.21
2021-01-01,0.22
2022-01-01,0.19
2023-01-01,0.18
2024-01-01,0.18
