Date,Value
1993-01-01,2.37
1994-01-01,2.34
1995-01-01,2.44
1996-01-01,2.27
1997-01-01,2.27
1998-01-01,2.39
1999-01-01,2.44
2000-01-01,1.09
2001-01-01,1.17
2002-01-01,1.07
2003-01-01,1.08
2004-01-01,1.06
2005-01-01,1.13
2006-01-01,1.01
2007-01-01,0.95
2008-01-01,0.81
2009-01-01,0.79
2010-01-01,0.72
2011-01-01,0.71
2012-01-01,0.76
2013-01-01,0.83
2014-01-01,0.8
2015-01-01,0.74
2016-01-01,0.79
2017-01-01,0.68
2018-01-01,0.76
2019-01-01,0.77
2020-01-01,0.72
2021-01-01,0.72
2022-01-01,0.9
2023-01-01,0.93
2024-01-01,0.72
