Date,Value
1993-01-01,1.2
1994-01-01,1.19
1995-01-01,1.15
1996-01-01,1.08
1997-01-01,1.21
1998-01-01,1.23
1999-01-01,1.27
2000-01-01,1.2
2001-01-01,1.09
2002-01-01,1.28
2003-01-01,1.1
2004-01-01,1.08
2005-01-01,1.12
2006-01-01,1.19
2007-01-01,1.15
2008-01-01,1.08
2009-01-01,1.05
2010-01-01,1.08
2011-01-01,1.1
2012-01-01,1.12
2013-01-01,1.13
2014-01-01,1.09
2015-01-01,1.13
2016-01-01,1.14
2017-01-01,1.16
2018-01-01,1.15
2019-01-01,1.16
2020-01-01,1.16
2021-01-01,1.19
2022-01-01,1.16
2023-01-01,1.12
2024-01-01,1.11
