Date,Value
1993-01-01,1.68
1994-01-01,1.65
1995-01-01,1.7
1996-01-01,1.69
1997-01-01,1.83
1998-01-01,1.71
1999-01-01,1.8
2000-01-01,1.87
2001-01-01,1.81
2002-01-01,1.83
2003-01-01,1.92
2004-01-01,1.95
2005-01-01,1.98
2006-01-01,1.82
2007-01-01,1.82
2008-01-01,1.92
2009-01-01,1.94
2010-01-01,1.78
2011-01-01,1.81
2012-01-01,1.72
2013-01-01,1.83
2014-01-01,1.85
2015-01-01,1.82
2016-01-01,1.87
2017-01-01,1.95
2018-01-01,1.96
2019-01-01,1.93
2020-01-01,1.87
2021-01-01,1.79
2022-01-01,1.76
2023-01-01,1.68
2024-01-01,1.65
