Date,Value
1993-01-01,0.59
1994-01-01,0.57
1995-01-01,0.61
1996-01-01,0.56
1997-01-01,0.67
1998-01-01,0.6
1999-01-01,0.56
2000-01-01,0.59
2001-01-01,0.54
2002-01-01,0.61
2003-01-01,0.58
2004-01-01,0.57
2005-01-01,0.5
2006-01-01,0.5
2007-01-01,0.53
2008-01-01,0.45
2009-01-01,0.4
2010-01-01,0.38
2011-01-01,0.36
2012-01-01,0.37
2013-01-01,0.36
2014-01-01,0.36
2015-01-01,0.34
2016-01-01,0.42
2017-01-01,0.48
2018-01-01,0.44
2019-01-01,0.43
2020-01-01,0.43
2021-01-01,0.45
2022-01-01,0.43
2023-01-01,0.48
2024-01-01,0.5
