Date,Value
1987-01-01,1391
1988-01-01,1436
1989-01-01,1443
1990-01-01,1544
1991-01-01,1587
1992-01-01,1608
1993-01-01,1585
1994-01-01,1621
1995-01-01,1630
1996-01-01,1633
1997-01-01,1698
1998-01-01,1864
1999-01-01,1813
2000-01-01,1801
2001-01-01,1701
2002-01-01,1785
2003-01-01,1695
2004-01-01,1672
2005-01-01,1698
2006-01-01,1658
2007-01-01,1599
2008-01-01,1585
2009-01-01,1715
2010-01-01,1742
2011-01-01,1705
2012-01-01,1720
2013-01-01,1767
2014-01-01,2008
2015-01-01,1980
2016-01-01,2092
2017-01-01,2121
2018-01-01,2123
2019-01-01,2137
2020-01-01,2139
2021-01-01,2109
2022-01-01,1957
2023-01-01,1894
2024-01-01,1897
