Date,Value
1973-01-01,0
1974-01-01,0
1975-01-01,0
1976-01-01,0
1977-01-01,0
1978-01-01,0
1979-01-01,0
1980-01-01,32841
1981-01-01,31364
1982-01-01,24013
1983-01-01,25048
1984-01-01,21013
1985-01-01,17908
1986-01-01,16869
1987-01-01,18072
1988-01-01,19219
1989-01-01,23138
1990-01-01,20622
1991-01-01,21842
1992-01-01,26620
1993-01-01,27469
1994-01-01,30773
1995-01-01,39168
1996-01-01,38848
1997-01-01,40619
1998-01-01,47172
1999-01-01,58025
2000-01-01,335786
2001-01-01,286617
2002-01-01,49810
2003-01-01,49016
2004-01-01,34540
2005-01-01,30744
2006-01-01,38575
2007-01-01,38850
2008-01-01,40116
2009-01-01,52059
2010-01-01,48121
2011-01-01,50882
2012-01-01,49243
2013-01-01,52021
2014-01-01,59848
2015-01-01,59891
2016-01-01,58817
2017-01-01,65894
2018-01-01,72961
2019-01-01,69267
2020-01-01,72991
2021-01-01,73506
2022-01-01,75454
2023-01-01,80328
2024-01-01,78937
