Date,Value
1987-01-01,2772
1988-01-01,2689
1989-01-01,2877
1990-01-01,2889
1991-01-01,2840
1992-01-01,2859
1993-01-01,2912
1994-01-01,2853
1995-01-01,2845
1996-01-01,2843
1997-01-01,2531
1998-01-01,3295
1999-01-01,3040
2000-01-01,2821
2001-01-01,3403
2002-01-01,3438
2003-01-01,3367
2004-01-01,3283
2005-01-01,2855
2006-01-01,2811
2007-01-01,2822
2008-01-01,2920
2009-01-01,2618
2010-01-01,2731
2011-01-01,2733
2012-01-01,2872
2013-01-01,2958
2014-01-01,3062
2015-01-01,3050
2016-01-01,3103
2017-01-01,2943
2018-01-01,3246
2019-01-01,3228
2020-01-01,3228
2021-01-01,3153
2022-01-01,3224
2023-01-01,3151
2024-01-01,3155
