Date,Value
1982-01-01,0
1983-01-01,0
1984-01-01,2698
1985-01-01,5921
1986-01-01,5068
1987-01-01,2954
1988-01-01,3089
1989-01-01,3682
1990-01-01,4847
1991-01-01,5509
1992-01-01,6316
1993-01-01,4922
1994-01-01,5631
1995-01-01,6281
1996-01-01,8882
1997-01-01,10223
1998-01-01,12633
1999-01-01,17567
2000-01-01,22638
2001-01-01,16831
2002-01-01,15272
2003-01-01,12810
2004-01-01,14149
2005-01-01,13394
2006-01-01,14919
2007-01-01,14449
2008-01-01,17158
2009-01-01,17034
2010-01-01,7560
2011-01-01,19436
2012-01-01,28644
2013-01-01,32057
2014-01-01,30899
2015-01-01,33028
2016-01-01,31377
2017-01-01,29759
2018-01-01,30671
2019-01-01,33751
2020-01-01,34789
2021-01-01,32753
2022-01-01,31286
2023-01-01,32565
2024-01-01,29047
