Date,Value
1982-01-01,126
1983-01-01,1816
1984-01-01,4390
1985-01-01,8861
1986-01-01,2890
1987-01-01,12292
1988-01-01,13263
1989-01-01,24687
1990-01-01,24962
1991-01-01,23348
1992-01-01,17302
1993-01-01,20068
1994-01-01,38907
1995-01-01,56707
1996-01-01,42287
1997-01-01,60729
1998-01-01,72282
1999-01-01,56039
2000-01-01,50946
2001-01-01,61746
2002-01-01,59782
2003-01-01,55805
2004-01-01,63897
2005-01-01,63866
2006-01-01,68993
2007-01-01,69622
2008-01-01,72288
2009-01-01,71072
2010-01-01,81586
2011-01-01,89513
2012-01-01,93123
2013-01-01,99519
2014-01-01,96867
2015-01-01,93828
2016-01-01,94278
2017-01-01,95736
2018-01-01,103557
2019-01-01,104661
2020-01-01,101674
2021-01-01,107361
2022-01-01,106512
2023-01-01,99966
2024-01-01,98322
