Date,Value
1982-01-01,0
1983-01-01,2658
1984-01-01,4317
1985-01-01,8794
1986-01-01,19697
1987-01-01,45444
1988-01-01,47259
1989-01-01,58333
1990-01-01,60359
1991-01-01,83934
1992-01-01,113074
1993-01-01,125916
1994-01-01,180002
1995-01-01,240506
1996-01-01,291057
1997-01-01,179634
1998-01-01,157748
1999-01-01,87086
2000-01-01,85604
2001-01-01,75335
2002-01-01,82130
2003-01-01,73686
2004-01-01,69928
2005-01-01,68851
2006-01-01,68718
2007-01-01,67770
2008-01-01,70815
2009-01-01,63752
2010-01-01,67459
2011-01-01,69216
2012-01-01,69125
2013-01-01,74769
2014-01-01,79099
2015-01-01,77911
2016-01-01,76188
2017-01-01,78048
2018-01-01,86152
2019-01-01,85107
2020-01-01,81783
2021-01-01,85055
2022-01-01,84159
2023-01-01,80249
2024-01-01,79881
