Date,Value
1988-01-01,0
1989-01-01,0
1990-01-01,0
1991-01-01,37
1992-01-01,46
1993-01-01,44
1994-01-01,61
1995-01-01,118
1996-01-01,115
1997-01-01,313
1998-01-01,411
1999-01-01,513
2000-01-01,563
2001-01-01,930
2002-01-01,982
2003-01-01,1200
2004-01-01,1347
2005-01-01,1888
2006-01-01,1989
2007-01-01,2010
2008-01-01,1991
2009-01-01,2096
2010-01-01,2015
2011-01-01,1712
2012-01-01,1707
2013-01-01,1730
2014-01-01,2181
2015-01-01,2207
2016-01-01,2471
2017-01-01,1565
2018-01-01,1656
2019-01-01,1622
2020-01-01,2027
2021-01-01,2071
2022-01-01,2114
2023-01-01,1851
2024-01-01,1564
2025-01-01,1307
