Date,Value
1994-01-01,0.56
1995-01-01,0.73
1996-01-01,1.17
1997-01-01,0.43
1998-01-01,0.38
1999-01-01,0.35
2000-01-01,0.35
2001-01-01,0.47
2002-01-01,0.47
2003-01-01,0.47
2004-01-01,0.47
2005-01-01,0.4
2006-01-01,0.34
2007-01-01,0.32
2008-01-01,0.23
2009-01-01,0.24
2010-01-01,0.24
2011-01-01,0.44
2012-01-01,0.44
2013-01-01,0.44
2014-01-01,0.42
2015-01-01,0.35
2016-01-01,0.34
2017-01-01,0.1
2018-01-01,0.11
2019-01-01,0.11
2020-01-01,0.11
2021-01-01,0.13
2022-01-01,0.11
2023-01-01,0.1
2024-01-01,0.03
